method,moneyness,maturity,n,rmse_volpts,mae_volpts
NN v3,deep_OTM_put(k<=-0.10),short(<=30d),8618,4.583439529546641,3.9048847930541264
NN v3,deep_OTM_put(k<=-0.10),medium(30-90d),6796,5.291147959826206,4.785652902265098
NN v3,deep_OTM_put(k<=-0.10),long(>90d),5619,4.700853494044064,4.275431076022128
NN v3,"OTM_put(-0.10,-0.03]",short(<=30d),39691,5.938678891413715,5.470708103399158
NN v3,"OTM_put(-0.10,-0.03]",medium(30-90d),18931,5.212867915748772,4.694316241949713
NN v3,"OTM_put(-0.10,-0.03]",long(>90d),2195,3.457766386467685,2.932415618957896
NN v3,"ATM(-0.03,0.03]",short(<=30d),54338,5.695183791217156,5.050116880082509
NN v3,"ATM(-0.03,0.03]",medium(30-90d),20807,4.443327132582026,3.860003295258576
NN v3,"ATM(-0.03,0.03]",long(>90d),137,3.894525140821102,3.0295609098614
NN v3,"OTM_call(0.03,0.10]",short(<=30d),44872,3.784248492589082,3.076717231686411
NN v3,"OTM_call(0.03,0.10]",medium(30-90d),17466,3.888703996201827,3.3881965128646665
NN v3,"OTM_call(0.03,0.10]",long(>90d),2418,3.234354912935195,2.7743227398935097
NN v3,deep_OTM_call(k>0.10),short(<=30d),5962,9.86702515990793,7.764153252560554
NN v3,deep_OTM_call(k>0.10),medium(30-90d),3634,2.6419696356873787,2.137040129886134
NN v3,deep_OTM_call(k>0.10),long(>90d),3695,4.352125049379207,4.007501614285948
CubicSpline,deep_OTM_put(k<=-0.10),short(<=30d),1678,96.90147928722102,10.856099340721888
CubicSpline,deep_OTM_put(k<=-0.10),medium(30-90d),1261,103.25101697094124,10.61246206926515
CubicSpline,deep_OTM_put(k<=-0.10),long(>90d),932,5.168719423596571,0.942239056784116
CubicSpline,"OTM_put(-0.10,-0.03]",short(<=30d),7667,10.252420880907364,0.6053358238336891
CubicSpline,"OTM_put(-0.10,-0.03]",medium(30-90d),3574,6.319551605993791,0.4179308297037948
CubicSpline,"OTM_put(-0.10,-0.03]",long(>90d),365,0.7530641594784997,0.1946768276871929
CubicSpline,"ATM(-0.03,0.03]",short(<=30d),10338,0.2568409856642387,0.0828512688771764
CubicSpline,"ATM(-0.03,0.03]",medium(30-90d),3940,2.4108302895253915,0.1484401416140047
CubicSpline,"ATM(-0.03,0.03]",long(>90d),27,2.760948985498299,0.7262900296713057
CubicSpline,"OTM_call(0.03,0.10]",short(<=30d),8537,16.594836182183762,0.6707478262804176
CubicSpline,"OTM_call(0.03,0.10]",medium(30-90d),3253,1.2759843014106218,0.2702834287129864
CubicSpline,"OTM_call(0.03,0.10]",long(>90d),368,0.2687214131318104,0.180001043416705
CubicSpline,deep_OTM_call(k>0.10),short(<=30d),1098,67.09218282383608,10.105184056478109
CubicSpline,deep_OTM_call(k>0.10),medium(30-90d),672,1053.3281069637326,62.493017321621856
CubicSpline,deep_OTM_call(k>0.10),long(>90d),585,2.179133676660499,0.8342046402053845
SSVI,deep_OTM_put(k<=-0.10),short(<=30d),1678,4.708319983213752,3.1620179279007847
SSVI,deep_OTM_put(k<=-0.10),medium(30-90d),1261,2.3721237847839185,1.7547866267472516
SSVI,deep_OTM_put(k<=-0.10),long(>90d),932,1.3971161178079716,0.9764659949876748
SSVI,"OTM_put(-0.10,-0.03]",short(<=30d),7667,2.998766547887643,2.5096701943309268
SSVI,"OTM_put(-0.10,-0.03]",medium(30-90d),3574,1.4621904518780802,1.2403238395563183
SSVI,"OTM_put(-0.10,-0.03]",long(>90d),365,1.0364919279600298,0.8233469540025704
SSVI,"ATM(-0.03,0.03]",short(<=30d),10338,1.2423431405123606,0.8549936565230474
SSVI,"ATM(-0.03,0.03]",medium(30-90d),3940,0.5582181099803637,0.3722088849024834
SSVI,"ATM(-0.03,0.03]",long(>90d),27,1.5678558558371902,1.1571901431223068
SSVI,"OTM_call(0.03,0.10]",short(<=30d),8537,1.9478611050904169,1.4925943864417777
SSVI,"OTM_call(0.03,0.10]",medium(30-90d),3253,1.177203174649932,0.9308372008686528
SSVI,"OTM_call(0.03,0.10]",long(>90d),368,1.616544861641202,1.3518984159605192
SSVI,deep_OTM_call(k>0.10),short(<=30d),1098,5.501752889508925,4.199764117509158
SSVI,deep_OTM_call(k>0.10),medium(30-90d),672,2.349504137933912,1.6294626336144291
SSVI,deep_OTM_call(k>0.10),long(>90d),585,1.4017114935551334,1.017097846174093
SVI,deep_OTM_put(k<=-0.10),short(<=30d),1678,6.905259445265597,3.050832919052223
SVI,deep_OTM_put(k<=-0.10),medium(30-90d),1261,3.4079943171066702,1.457359211342103
SVI,deep_OTM_put(k<=-0.10),long(>90d),932,0.9558072150335376,0.4577969389226276
SVI,"OTM_put(-0.10,-0.03]",short(<=30d),7667,1.1712727157373837,0.5942286665928241
SVI,"OTM_put(-0.10,-0.03]",medium(30-90d),3574,0.5957914266563357,0.3226629669190221
SVI,"OTM_put(-0.10,-0.03]",long(>90d),365,0.4628632833734349,0.3508223387570833
SVI,"ATM(-0.03,0.03]",short(<=30d),10338,2.343521274469507,1.0107011949552565
SVI,"ATM(-0.03,0.03]",medium(30-90d),3940,1.0670507822487134,0.5242911963293351
SVI,"ATM(-0.03,0.03]",long(>90d),27,0.7163059618535905,0.440115234294165
SVI,"OTM_call(0.03,0.10]",short(<=30d),8537,2.2014434457038368,1.155618188565079
SVI,"OTM_call(0.03,0.10]",medium(30-90d),3253,1.5165807078986793,0.7896078136439738
SVI,"OTM_call(0.03,0.10]",long(>90d),368,0.5067237951837196,0.3498293987522683
SVI,deep_OTM_call(k>0.10),short(<=30d),1098,3.17988436228161,1.715990482399052
SVI,deep_OTM_call(k>0.10),medium(30-90d),672,1.8391439282176023,1.143164751444521
SVI,deep_OTM_call(k>0.10),long(>90d),585,1.1288399925487702,0.5864068341153406
ThinPlate,deep_OTM_put(k<=-0.10),short(<=30d),1678,1.8597208422231344,0.675803639474679
ThinPlate,deep_OTM_put(k<=-0.10),medium(30-90d),1261,1.1306761026163858,0.4552199624774634
ThinPlate,deep_OTM_put(k<=-0.10),long(>90d),932,0.97937442407496,0.3947482785595084
ThinPlate,"OTM_put(-0.10,-0.03]",short(<=30d),7667,0.3530226332245024,0.1136582972307
ThinPlate,"OTM_put(-0.10,-0.03]",medium(30-90d),3574,0.2032818394114881,0.0814004412379017
ThinPlate,"OTM_put(-0.10,-0.03]",long(>90d),365,0.2814255514521565,0.1704966370715021
ThinPlate,"ATM(-0.03,0.03]",short(<=30d),10338,0.1903503036736562,0.0699949079827453
ThinPlate,"ATM(-0.03,0.03]",medium(30-90d),3940,0.3003643213011894,0.0955618603393263
ThinPlate,"ATM(-0.03,0.03]",long(>90d),27,1.5328119397585982,0.4535471190899437
ThinPlate,"OTM_call(0.03,0.10]",short(<=30d),8537,0.6122787139542265,0.17328621850453
ThinPlate,"OTM_call(0.03,0.10]",medium(30-90d),3253,0.4246646678505996,0.1309855370735129
ThinPlate,"OTM_call(0.03,0.10]",long(>90d),368,0.2927139782501149,0.1836027865833436
ThinPlate,deep_OTM_call(k>0.10),short(<=30d),1098,1.7945912692755934,0.8363699921334679
ThinPlate,deep_OTM_call(k>0.10),medium(30-90d),672,1.1691671561410482,0.5541617991823777
ThinPlate,deep_OTM_call(k>0.10),long(>90d),585,0.974733120391732,0.47518796370843
