fold,train_start,train_end,val_start,val_end,test_start,test_end,partial_test
0,2020-01-01,2021-07-01,2021-07-01,2021-10-01,2021-10-01,2022-01-01,False
1,2020-01-01,2021-10-01,2021-10-01,2022-01-01,2022-01-01,2022-04-01,False
2,2020-01-01,2022-01-01,2022-01-01,2022-04-01,2022-04-01,2022-07-01,False
3,2020-01-01,2022-04-01,2022-04-01,2022-07-01,2022-07-01,2022-10-01,False
4,2020-01-01,2022-07-01,2022-07-01,2022-10-01,2022-10-01,2023-01-01,False
5,2020-01-01,2022-10-01,2022-10-01,2023-01-01,2023-01-01,2023-04-01,False
6,2020-01-01,2023-01-01,2023-01-01,2023-04-01,2023-04-01,2023-07-01,False
7,2020-01-01,2023-04-01,2023-04-01,2023-07-01,2023-07-01,2023-10-01,False
8,2020-01-01,2023-07-01,2023-07-01,2023-10-01,2023-10-01,2024-01-01,False
9,2020-01-01,2023-10-01,2023-10-01,2024-01-01,2024-01-01,2024-04-01,False
10,2020-01-01,2024-01-01,2024-01-01,2024-04-01,2024-04-01,2024-07-01,False
11,2020-01-01,2024-04-01,2024-04-01,2024-07-01,2024-07-01,2024-10-01,False
12,2020-01-01,2024-07-01,2024-07-01,2024-10-01,2024-10-01,2025-01-01,False
13,2020-01-01,2024-10-01,2024-10-01,2025-01-01,2025-01-01,2025-04-01,False
14,2020-01-01,2025-01-01,2025-01-01,2025-04-01,2025-04-01,2025-07-01,False
15,2020-01-01,2025-04-01,2025-04-01,2025-07-01,2025-07-01,2025-10-01,False
16,2020-01-01,2025-07-01,2025-07-01,2025-10-01,2025-10-01,2026-01-01,False
17,2020-01-01,2025-10-01,2025-10-01,2026-01-01,2026-01-01,2026-01-31,True
