fold,hard,soft_broad,soft_targeted,hard_cal_only,soft_cal_only
0,0.0,19.049,0.242,0.0,0.0
1,0.0,25.68,17.376,0.0,0.0
2,0.0,10.119,17.96,0.0,0.0
3,0.0,34.287,22.173,0.0,0.0
4,0.0,62.568,24.471,0.0,0.0
5,0.0,62.87,20.218,0.0,0.0
6,0.0,65.128,22.435,0.0,0.0
7,0.0,8.184,16.368,0.0,2.056
8,0.0,16.489,93.872,0.0,0.0
9,0.0,60.814,16.63,0.0,0.0
10,0.0,53.659,18.847,0.0,0.0
11,0.0,58.859,20.984,0.0,0.0
12,0.0,0.665,23.947,0.0,0.0
13,0.0,52.489,35.759,0.0,0.0
14,0.0,62.044,18.101,0.0,0.786
15,0.0,70.53,10.441,0.0,0.0
16,0.0,63.898,18.121,0.0,0.06
17,0.0,64.201,17.537,0.0,0.0
