lam,fold,seed,calendar_viol_rate,min_dwdtau,frac_w_neg,train_rmse_volpts
0.0,7,1,0.04616004837734328,-0.22341710329055786,0.0,9.78173147162156
0.0,7,2,0.009070751864543439,-0.10799339413642883,0.0,8.493850423678206
0.0,7,3,0.2733319895182423,-0.15948449075222015,0.06551098568836929,9.855762188047446
0.0,16,1,0.11449304575690385,-0.230025053024292,0.0,10.325228935533783
0.0,16,2,0.012295908083047773,-0.13327917456626892,0.0,7.272790498054803
0.0,16,3,0.3116307196129813,-0.2650219202041626,0.10018141503729087,10.179369166952352
0.01,7,1,0.010280185446482563,-0.13599935173988342,0.0,7.808745629255727
0.01,7,2,0.004031445273130417,-0.035727761685848236,0.0,7.520221784863
0.01,7,3,0.00947389639185648,-0.0707717090845108,0.0048377343277565005,7.328128092063834
0.01,16,1,0.010481757710139084,-0.144383043050766,0.0,8.960370566720893
0.01,16,2,0.004233017536786938,-0.044916197657585144,0.0,6.601775650312454
0.01,16,3,0.009675468655513001,-0.07113975286483765,0.005845595646039105,7.153519831122158
0.1,7,1,0.0036283007458173754,-0.044645294547080994,0.0,8.175760539060335
0.1,7,2,0.0024188671638782503,-0.00952545553445816,0.0,6.753978233446421
0.1,7,3,0.003023583954847813,-0.014923766255378723,0.0,8.046711632492736
0.1,16,1,0.00947389639185648,-0.09287352859973907,0.022172949002217297,16.166132351797497
0.1,16,2,0.0008062890546260835,-0.0016640499234199524,0.0,7.717243206340885
0.1,16,3,0.0036283007458173754,-0.016155388206243515,0.003225156218504334,8.013882221423962
1.0,7,1,0.0008062890546260835,-0.0019664540886878967,0.0,11.668576181594986
1.0,7,2,0.0,0.0025031156837940216,0.0,9.201838976245899
1.0,7,3,0.0,0.002121567726135254,0.0,10.390833185465842
1.0,16,1,0.0,0.062215790152549744,0.0,31.590105910678858
1.0,16,2,0.0,0.026473481208086014,0.0,15.817665614657727
1.0,16,3,0.0,0.0044689178466796875,0.0,12.234193867312674
10.0,7,1,0.0,0.10274863243103027,0.0,42.6443931346703
10.0,7,2,0.0,0.022738471627235413,0.0,21.48285825854502
10.0,7,3,0.0,0.025473497807979584,0.0,32.10781960568837
10.0,16,1,0.0,0.005894888192415237,0.0,15.16644410402456
10.0,16,2,0.0012094335819391251,-0.011771336197853088,0.005442451118726063,26.832217411947934
10.0,16,3,0.0,0.004917185753583908,0.0,27.891729418992625
100.0,7,1,0.0,0.0992310643196106,0.0,59.00101696943428
100.0,7,2,0.0,0.02978399395942688,0.0,39.05301225515575
100.0,7,3,0.0008062890546260835,-0.004324570298194885,0.0,40.62247177280204
100.0,16,1,0.0,0.2835736870765686,0.0,120.73549567752411
100.0,16,2,0.0,0.0551445409655571,0.0,39.83934078604249
100.0,16,3,0.0,0.0029689371585845947,0.0,44.08533692094523
