variant,seed,fold,task,rmse,mae,contaminated
hard,1,0,A,8.31991459001147,5.177935451492831,False
hard,1,0,B,6.015730511314479,5.552558875197644,False
hard,1,1,A,8.034888783630862,5.105166359761775,False
hard,1,1,B,4.76072895140046,3.6992658208908984,False
hard,1,2,A,7.676334973356306,4.825349323233105,False
hard,1,2,B,4.30519402522794,2.7019406512966215,False
hard,1,3,A,7.465417295163054,4.740849315560097,False
hard,1,3,B,3.3426864826636686,2.6075145028723505,False
hard,1,4,A,7.021298269981925,4.442441702674493,False
hard,1,4,B,5.764671633091352,5.108158677335694,False
hard,1,5,A,6.544865081348028,4.128586427819649,False
hard,1,5,B,5.934523165071854,5.453861673586879,False
hard,1,6,A,6.525132010722041,4.156555626970681,False
hard,1,6,B,7.542594326780417,7.207788118881053,False
hard,1,7,A,6.4158949292453045,4.173655896127564,False
hard,1,7,B,7.353384678430881,7.0249362827392,False
hard,1,8,A,6.6018152903358,4.341594046378505,False
hard,1,8,B,6.319906027138265,5.978217091846305,False
hard,1,9,A,6.46475073549267,4.353917973914666,False
hard,1,9,B,4.340292693093661,3.914255686707551,False
hard,1,10,A,6.4318449242318545,4.400932505820386,False
hard,1,10,B,4.975934395073206,4.306441143933645,False
hard,1,11,A,6.266976023178082,4.298838072689262,False
hard,1,11,B,4.40416397722551,4.064425224564515,False
hard,1,12,A,6.206103559815649,4.276172629980481,False
hard,1,12,B,4.212351439883671,3.5192552266991255,False
hard,1,13,A,6.017137392569318,4.1984220831448695,False
hard,1,13,B,4.081241974696873,3.469037925350233,False
hard,1,14,A,5.940733168701614,4.128834094999615,False
hard,1,14,B,3.114046148330944,2.4072357385745136,False
hard,1,15,A,5.919315331243633,4.0692351379116145,False
hard,1,15,B,5.222841995800473,4.900837990302996,False
hard,1,16,A,5.7076749190846705,3.9169543212728963,True
hard,1,16,B,5.723745904579161,5.469617109835713,True
hard,1,17,A,5.710652108620864,3.928713403855553,False
hard,1,17,B,4.617973892518873,4.078556848447984,False
hard_cal_only,1,0,A,8.424486433789937,5.3036070132667055,False
hard_cal_only,1,0,B,6.404220762263388,5.9109630829629864,False
hard_cal_only,1,1,A,8.134577721570869,5.113148279941172,False
hard_cal_only,1,1,B,4.795065081678133,3.675762857635442,False
hard_cal_only,1,2,A,7.626746554135827,4.743484362931604,False
hard_cal_only,1,2,B,4.136103457110055,2.5698511678678275,False
hard_cal_only,1,3,A,7.485792566106702,4.710827162575886,False
hard_cal_only,1,3,B,3.09758030232728,2.3353301152830688,False
hard_cal_only,1,4,A,7.088875131989901,4.462479842125243,False
hard_cal_only,1,4,B,5.721662135342518,5.033766746596659,False
hard_cal_only,1,5,A,6.4476034066514964,4.062106560283206,False
hard_cal_only,1,5,B,5.867217013153836,5.412329607612401,False
hard_cal_only,1,6,A,6.533097699452024,4.069750501917169,False
hard_cal_only,1,6,B,7.169572540922094,6.780550927256304,False
hard_cal_only,1,7,A,6.2810536025271615,4.101020251151178,False
hard_cal_only,1,7,B,7.429646987939699,7.101915153556652,False
hard_cal_only,1,8,A,6.6693933457284675,4.251782848540914,False
hard_cal_only,1,8,B,5.705891451712197,5.332471510225938,False
hard_cal_only,1,9,A,6.437522208859245,4.2394270200736,False
hard_cal_only,1,9,B,3.8596727381168368,3.4608650553385374,False
hard_cal_only,1,10,A,6.461860552535603,4.303911293057152,False
hard_cal_only,1,10,B,4.628221424744218,3.8680640407923255,False
hard_cal_only,1,11,A,6.065894586452479,4.11573285505247,False
hard_cal_only,1,11,B,4.167894315637306,3.8517025281700095,False
hard_cal_only,1,12,A,6.200471696778818,4.171439266480532,False
hard_cal_only,1,12,B,3.917730438418702,3.155278472209438,False
hard_cal_only,1,13,A,5.8660752591064735,4.040955207762061,False
hard_cal_only,1,13,B,3.7237780030100924,3.2185371007179344,False
hard_cal_only,1,14,A,5.951609943032482,4.016138106486954,False
hard_cal_only,1,14,B,3.031602541531688,2.2372487535623367,False
hard_cal_only,1,15,A,5.715004587959488,3.878205641047872,False
hard_cal_only,1,15,B,4.9432116665577155,4.688790936743215,False
hard_cal_only,1,16,A,5.561222658323121,3.739149104534384,True
hard_cal_only,1,16,B,5.434462043075732,5.20261294292064,True
hard_cal_only,1,17,A,5.5717978400790065,3.7114019622749184,False
hard_cal_only,1,17,B,4.217973793533586,3.7166336807182074,False
hard_cal_only,2,0,A,8.450116334217201,5.145010787397824,False
hard_cal_only,2,0,B,5.916641515360073,5.420947186584743,False
hard_cal_only,2,1,A,8.286824263794248,5.169747507706902,False
hard_cal_only,2,1,B,5.1481378236106,3.9028363420207652,False
hard_cal_only,2,2,A,8.730133977365467,5.507667345456431,False
hard_cal_only,2,2,B,4.768242780879625,2.9033945877745637,False
hard_cal_only,2,3,A,8.526256915755807,5.428858729360068,False
hard_cal_only,2,3,B,4.078911851977066,2.8948433858321194,False
hard_cal_only,2,4,A,8.092973784280883,5.087636415898779,False
hard_cal_only,2,4,B,6.1930612949147195,5.295054777782628,False
hard_cal_only,2,5,A,7.896179081716701,4.79784854034935,False
hard_cal_only,2,5,B,5.874241993957741,5.249841046184552,False
hard_cal_only,2,6,A,7.759357533664244,4.698568419117115,False
hard_cal_only,2,6,B,6.998511661673843,6.517445321068925,False
hard_cal_only,2,7,A,7.713546981014178,4.692214183030712,False
hard_cal_only,2,7,B,6.522479207861482,6.036000035505362,False
hard_cal_only,2,8,A,7.436432200134428,4.730854035062799,False
hard_cal_only,2,8,B,6.441719433547612,5.959312852139595,False
hard_cal_only,2,9,A,7.51573551473029,4.834220599382818,False
hard_cal_only,2,9,B,4.200933655560807,3.596593103653856,False
hard_cal_only,2,10,A,7.341851292436094,4.814794412385047,False
hard_cal_only,2,10,B,5.087056201948146,4.235755547725085,False
hard_cal_only,2,11,A,7.334321246473466,4.720847212623092,False
hard_cal_only,2,11,B,4.3650456522698144,3.6396601295602333,False
hard_cal_only,2,12,A,7.1112593030976665,4.65518223225283,False
hard_cal_only,2,12,B,4.0598936607567655,3.223968348967487,False
hard_cal_only,2,13,A,6.95916040347199,4.61776077058955,False
hard_cal_only,2,13,B,3.867902737368549,3.2526559513793964,False
hard_cal_only,2,14,A,7.029664681470567,4.532908601497476,False
hard_cal_only,2,14,B,4.662874407136706,2.9348472980950464,False
hard_cal_only,2,15,A,6.97369259241005,4.4323603309939115,False
hard_cal_only,2,15,B,4.477006762030951,4.037076711184071,False
hard_cal_only,2,16,A,6.822872336763731,4.321772829443641,True
hard_cal_only,2,16,B,5.245264382355298,4.849490659047445,True
