variant,fold,task,subset,n,rmse,contaminated
hard,0,A,in_range,7662,8.278569333900672,False
hard,0,A,out_of_range,775,8.718127080102978,False
hard,0,A,all,8437,8.31991459001147,False
hard,0,B,in_range,11777,6.015730511314479,False
hard,0,B,all,11777,6.015730511314479,False
hard,1,A,in_range,9483,8.009616205401926,False
hard,1,A,out_of_range,945,8.284229455353616,False
hard,1,A,all,10428,8.034888783630862,False
hard,1,B,in_range,13160,4.76072895140046,False
hard,1,B,all,13160,4.76072895140046,False
hard,2,A,in_range,11535,7.607279806911198,False
hard,2,A,out_of_range,1106,8.362626272833205,False
hard,2,A,all,12641,7.676334973356306,False
hard,2,B,in_range,14492,4.30519402522794,False
hard,2,B,all,14492,4.30519402522794,False
hard,3,A,in_range,13824,7.372185214294488,False
hard,3,A,out_of_range,1280,8.40669574845786,False
hard,3,A,all,15104,7.465417295163054,False
hard,3,B,in_range,15242,3.3426864826636686,False
hard,3,B,all,15242,3.3426864826636686,False
hard,4,A,in_range,16386,6.917421294763966,False
hard,4,A,out_of_range,1457,8.098297502818905,False
hard,4,A,all,17843,7.021298269981925,False
hard,4,B,in_range,13071,5.764671633091352,False
hard,4,B,all,13071,5.764671633091352,False
hard,5,A,in_range,19081,6.44010416049709,False
hard,5,A,out_of_range,1640,7.659126539039585,False
hard,5,A,all,20721,6.544865081348028,False
hard,5,B,in_range,13172,5.934523165071854,False
hard,5,B,all,13172,5.934523165071854,False
hard,6,A,in_range,21394,6.404083813245956,False
hard,6,A,out_of_range,1777,7.837072038865223,False
hard,6,A,all,23171,6.525132010722041,False
hard,6,B,in_range,11826,7.542594326780417,False
hard,6,B,all,11826,7.542594326780417,False
hard,7,A,in_range,23686,6.289970118295428,False
hard,7,A,out_of_range,1955,7.781289824902556,False
hard,7,A,all,25641,6.4158949292453045,False
hard,7,B,in_range,13260,7.353384678430881,False
hard,7,B,all,13260,7.353384678430881,False
hard,8,A,in_range,25751,6.448687498326899,False
hard,8,A,out_of_range,2095,8.255151519870312,False
hard,8,A,all,27846,6.6018152903358,False
hard,8,B,in_range,14039,6.319906027138265,False
hard,8,B,all,14039,6.319906027138265,False
hard,9,A,in_range,28084,6.336375137362064,False
hard,9,A,out_of_range,2265,7.884739574189177,False
hard,9,A,all,30349,6.46475073549267,False
hard,9,B,in_range,13843,4.340292693093661,False
hard,9,B,all,13843,4.340292693093661,False
hard,10,A,in_range,30570,6.300021453160417,False
hard,10,A,out_of_range,2428,7.905706148977598,False
hard,10,A,all,32998,6.4318449242318545,False
hard,10,B,in_range,13138,4.975934395073206,False
hard,10,B,all,13138,4.975934395073206,False
hard,11,A,in_range,32982,6.1311886656140135,False
hard,11,A,out_of_range,2588,7.792947750124306,False
hard,11,A,all,35570,6.266976023178082,False
hard,11,B,in_range,14747,4.40416397722551,False
hard,11,B,all,14747,4.40416397722551,False
