lam,seed,step,butterfly_viol_rate,calendar_viol_rate,mean_w_neg
0.0,1,4500,0.13404555533158638,0.16387825035275147,0.0
0.0,2,4500,0.0,0.7571054222938923,0.0
0.0,3,4500,0.07518645434388228,0.1806087482362427,0.0
0.01,1,4500,0.006450312437008668,0.033864140294295506,0.0
0.01,2,4500,0.0,0.7990324531344487,0.0
0.01,3,4500,0.006047167909695626,0.07558959887119532,0.0
0.1,1,4500,0.004031445273130417,0.006248740173352147,0.0
0.1,2,4500,0.0,0.8066921991533965,0.0
0.1,3,4500,0.0,0.07034872001612578,0.0
1.0,1,4500,0.0,0.8288651481556137,0.0
1.0,2,4500,0.0,0.8236242693005442,0.0
1.0,3,4500,0.0,0.8181818181818182,0.0
10.0,1,4500,0.0,0.8851038097157831,0.0
10.0,2,4500,0.0,0.12295908083047773,0.0
10.0,3,4500,0.0,0.8304777262648659,0.0
100.0,1,4500,0.0,0.8883289659342875,0.0
100.0,2,4500,0.0,0.050997782705099776,0.0
100.0,3,4500,0.0,0.830880870792179,0.0
