method,moneyness,maturity,n,rmse_volpts,mae_volpts,task,scope
CubicSpline,deep_OTM_put(k<=-0.10),short(<=30d),1678,96.90147928722102,10.856099340721887,B,blind_pooled_17folds
CubicSpline,deep_OTM_put(k<=-0.10),medium(30-90d),1261,103.25101697094125,10.61246206926515,B,blind_pooled_17folds
CubicSpline,deep_OTM_put(k<=-0.10),long(>90d),932,5.168719423596571,0.9422390567841161,B,blind_pooled_17folds
CubicSpline,"OTM_put(-0.10,-0.03]",short(<=30d),7667,10.252420880907364,0.6053358238336891,B,blind_pooled_17folds
CubicSpline,"OTM_put(-0.10,-0.03]",medium(30-90d),3574,6.319551605993791,0.4179308297037948,B,blind_pooled_17folds
CubicSpline,"OTM_put(-0.10,-0.03]",long(>90d),365,0.7530641594784997,0.1946768276871929,B,blind_pooled_17folds
CubicSpline,"ATM(-0.03,0.03]",short(<=30d),10338,0.2568409856642387,0.08285126887717642,B,blind_pooled_17folds
CubicSpline,"ATM(-0.03,0.03]",medium(30-90d),3940,2.4108302895253915,0.14844014161400473,B,blind_pooled_17folds
CubicSpline,"ATM(-0.03,0.03]",long(>90d),27,2.760948985498299,0.7262900296713057,B,blind_pooled_17folds
CubicSpline,"OTM_call(0.03,0.10]",short(<=30d),8537,16.594836182183762,0.6707478262804176,B,blind_pooled_17folds
CubicSpline,"OTM_call(0.03,0.10]",medium(30-90d),3253,1.2759843014106218,0.2702834287129864,B,blind_pooled_17folds
CubicSpline,"OTM_call(0.03,0.10]",long(>90d),368,0.2687214131318104,0.18000104341670503,B,blind_pooled_17folds
CubicSpline,deep_OTM_call(k>0.10),short(<=30d),1098,67.09218282383608,10.105184056478109,B,blind_pooled_17folds
CubicSpline,deep_OTM_call(k>0.10),medium(30-90d),672,1053.3281069637326,62.493017321621856,B,blind_pooled_17folds
CubicSpline,deep_OTM_call(k>0.10),long(>90d),585,2.179133676660499,0.8342046402053845,B,blind_pooled_17folds
SSVI,deep_OTM_put(k<=-0.10),short(<=30d),1678,4.708319983213752,3.1620179279007847,B,blind_pooled_17folds
SSVI,deep_OTM_put(k<=-0.10),medium(30-90d),1261,2.3721237847839185,1.7547866267472516,B,blind_pooled_17folds
SSVI,deep_OTM_put(k<=-0.10),long(>90d),932,1.3971161178079716,0.9764659949876748,B,blind_pooled_17folds
SSVI,"OTM_put(-0.10,-0.03]",short(<=30d),7667,2.998766547887643,2.5096701943309268,B,blind_pooled_17folds
SSVI,"OTM_put(-0.10,-0.03]",medium(30-90d),3574,1.4621904518780802,1.2403238395563183,B,blind_pooled_17folds
SSVI,"OTM_put(-0.10,-0.03]",long(>90d),365,1.0364919279600298,0.8233469540025704,B,blind_pooled_17folds
SSVI,"ATM(-0.03,0.03]",short(<=30d),10338,1.2423431405123606,0.8549936565230474,B,blind_pooled_17folds
SSVI,"ATM(-0.03,0.03]",medium(30-90d),3940,0.5582181099803637,0.37220888490248344,B,blind_pooled_17folds
SSVI,"ATM(-0.03,0.03]",long(>90d),27,1.5678558558371902,1.1571901431223068,B,blind_pooled_17folds
SSVI,"OTM_call(0.03,0.10]",short(<=30d),8537,1.9478611050904169,1.4925943864417777,B,blind_pooled_17folds
SSVI,"OTM_call(0.03,0.10]",medium(30-90d),3253,1.177203174649932,0.9308372008686528,B,blind_pooled_17folds
SSVI,"OTM_call(0.03,0.10]",long(>90d),368,1.6165448616412021,1.3518984159605192,B,blind_pooled_17folds
SSVI,deep_OTM_call(k>0.10),short(<=30d),1098,5.501752889508925,4.199764117509158,B,blind_pooled_17folds
SSVI,deep_OTM_call(k>0.10),medium(30-90d),672,2.349504137933912,1.6294626336144293,B,blind_pooled_17folds
SSVI,deep_OTM_call(k>0.10),long(>90d),585,1.4017114935551334,1.017097846174093,B,blind_pooled_17folds
SVI,deep_OTM_put(k<=-0.10),short(<=30d),1678,6.905259445265597,3.050832919052223,B,blind_pooled_17folds
SVI,deep_OTM_put(k<=-0.10),medium(30-90d),1261,3.4079943171066702,1.457359211342103,B,blind_pooled_17folds
SVI,deep_OTM_put(k<=-0.10),long(>90d),932,0.9558072150335377,0.4577969389226276,B,blind_pooled_17folds
SVI,"OTM_put(-0.10,-0.03]",short(<=30d),7667,1.1712727157373837,0.5942286665928241,B,blind_pooled_17folds
SVI,"OTM_put(-0.10,-0.03]",medium(30-90d),3574,0.5957914266563357,0.3226629669190221,B,blind_pooled_17folds
SVI,"OTM_put(-0.10,-0.03]",long(>90d),365,0.46286328337343496,0.35082233875708335,B,blind_pooled_17folds
SVI,"ATM(-0.03,0.03]",short(<=30d),10338,2.343521274469507,1.0107011949552565,B,blind_pooled_17folds
SVI,"ATM(-0.03,0.03]",medium(30-90d),3940,1.0670507822487134,0.5242911963293351,B,blind_pooled_17folds
SVI,"ATM(-0.03,0.03]",long(>90d),27,0.7163059618535905,0.44011523429416505,B,blind_pooled_17folds
SVI,"OTM_call(0.03,0.10]",short(<=30d),8537,2.2014434457038368,1.155618188565079,B,blind_pooled_17folds
SVI,"OTM_call(0.03,0.10]",medium(30-90d),3253,1.5165807078986793,0.7896078136439738,B,blind_pooled_17folds
SVI,"OTM_call(0.03,0.10]",long(>90d),368,0.5067237951837196,0.3498293987522683,B,blind_pooled_17folds
SVI,deep_OTM_call(k>0.10),short(<=30d),1098,3.17988436228161,1.715990482399052,B,blind_pooled_17folds
SVI,deep_OTM_call(k>0.10),medium(30-90d),672,1.8391439282176025,1.143164751444521,B,blind_pooled_17folds
SVI,deep_OTM_call(k>0.10),long(>90d),585,1.1288399925487702,0.5864068341153406,B,blind_pooled_17folds
ThinPlate,deep_OTM_put(k<=-0.10),short(<=30d),1678,1.8597208422231346,0.675803639474679,B,blind_pooled_17folds
ThinPlate,deep_OTM_put(k<=-0.10),medium(30-90d),1261,1.1306761026163858,0.4552199624774634,B,blind_pooled_17folds
ThinPlate,deep_OTM_put(k<=-0.10),long(>90d),932,0.9793744240749599,0.39474827855950845,B,blind_pooled_17folds
ThinPlate,"OTM_put(-0.10,-0.03]",short(<=30d),7667,0.35302263322450245,0.11365829723070008,B,blind_pooled_17folds
ThinPlate,"OTM_put(-0.10,-0.03]",medium(30-90d),3574,0.2032818394114881,0.08140044123790177,B,blind_pooled_17folds
ThinPlate,"OTM_put(-0.10,-0.03]",long(>90d),365,0.28142555145215653,0.17049663707150217,B,blind_pooled_17folds
ThinPlate,"ATM(-0.03,0.03]",short(<=30d),10338,0.19035030367365627,0.06999490798274534,B,blind_pooled_17folds
ThinPlate,"ATM(-0.03,0.03]",medium(30-90d),3940,0.30036432130118945,0.09556186033932633,B,blind_pooled_17folds
ThinPlate,"ATM(-0.03,0.03]",long(>90d),27,1.5328119397585982,0.4535471190899437,B,blind_pooled_17folds
ThinPlate,"OTM_call(0.03,0.10]",short(<=30d),8537,0.6122787139542265,0.17328621850453005,B,blind_pooled_17folds
ThinPlate,"OTM_call(0.03,0.10]",medium(30-90d),3253,0.4246646678505996,0.13098553707351293,B,blind_pooled_17folds
ThinPlate,"OTM_call(0.03,0.10]",long(>90d),368,0.2927139782501149,0.1836027865833436,B,blind_pooled_17folds
ThinPlate,deep_OTM_call(k>0.10),short(<=30d),1098,1.7945912692755934,0.8363699921334679,B,blind_pooled_17folds
ThinPlate,deep_OTM_call(k>0.10),medium(30-90d),672,1.1691671561410482,0.5541617991823777,B,blind_pooled_17folds
ThinPlate,deep_OTM_call(k>0.10),long(>90d),585,0.9747331203917321,0.47518796370843003,B,blind_pooled_17folds
CubicSpline,deep_OTM_put(k<=-0.10),short(<=30d),46,70.3156822532195,13.518815152112566,B,fold16_contaminated
CubicSpline,deep_OTM_put(k<=-0.10),medium(30-90d),51,22.941708060995655,6.589489866820229,B,fold16_contaminated
CubicSpline,deep_OTM_put(k<=-0.10),long(>90d),83,1.163120789983798,0.4452107498038752,B,fold16_contaminated
CubicSpline,"OTM_put(-0.10,-0.03]",short(<=30d),493,10.299527317834674,0.9239974652386376,B,fold16_contaminated
CubicSpline,"OTM_put(-0.10,-0.03]",medium(30-90d),307,7.104334138421363,0.8241579222935866,B,fold16_contaminated
CubicSpline,"OTM_put(-0.10,-0.03]",long(>90d),30,0.08559867953234644,0.06332626521332185,B,fold16_contaminated
CubicSpline,"ATM(-0.03,0.03]",short(<=30d),847,0.11993030271935828,0.04446727188147076,B,fold16_contaminated
CubicSpline,"ATM(-0.03,0.03]",medium(30-90d),394,0.4545862000068282,0.07317659084063646,B,fold16_contaminated
CubicSpline,"OTM_call(0.03,0.10]",short(<=30d),498,1.9756050333229338,0.37191728306930943,B,fold16_contaminated
CubicSpline,"OTM_call(0.03,0.10]",medium(30-90d),163,2.0808331838495184,0.3929713111996231,B,fold16_contaminated
CubicSpline,"OTM_call(0.03,0.10]",long(>90d),39,0.23488467481630765,0.1442059714599794,B,fold16_contaminated
CubicSpline,deep_OTM_call(k>0.10),short(<=30d),11,234.75994076615223,124.23446906608275,B,fold16_contaminated
CubicSpline,deep_OTM_call(k>0.10),medium(30-90d),19,69.91352696323725,18.30013326410425,B,fold16_contaminated
CubicSpline,deep_OTM_call(k>0.10),long(>90d),23,0.5504105506409347,0.3668072470578119,B,fold16_contaminated
SSVI,deep_OTM_put(k<=-0.10),short(<=30d),46,5.288036250165659,3.208150494405659,B,fold16_contaminated
SSVI,deep_OTM_put(k<=-0.10),medium(30-90d),51,4.163753898074682,3.1100509214999303,B,fold16_contaminated
SSVI,deep_OTM_put(k<=-0.10),long(>90d),83,1.8289074741611286,1.2564746972002359,B,fold16_contaminated
SSVI,"OTM_put(-0.10,-0.03]",short(<=30d),493,3.3316552801042074,3.0086318986737046,B,fold16_contaminated
SSVI,"OTM_put(-0.10,-0.03]",medium(30-90d),307,2.0573933087346115,1.8976684591419244,B,fold16_contaminated
SSVI,"OTM_put(-0.10,-0.03]",long(>90d),30,0.8764502003844813,0.5878652970242154,B,fold16_contaminated
SSVI,"ATM(-0.03,0.03]",short(<=30d),847,1.5349996144532556,1.1167721419142436,B,fold16_contaminated
SSVI,"ATM(-0.03,0.03]",medium(30-90d),394,0.5547012992298181,0.4002805692383748,B,fold16_contaminated
