moneyness,maturity,n,rmse_volpts,mae_volpts,method,task,scope
deep_OTM_put(k<=-0.10),short(<=30d),8618,4.583439529546641,3.9048847930541264,NN_v3,B,blind_pooled_17folds
deep_OTM_put(k<=-0.10),medium(30-90d),6796,5.291147959826206,4.785652902265098,NN_v3,B,blind_pooled_17folds
deep_OTM_put(k<=-0.10),long(>90d),5619,4.700853494044064,4.275431076022128,NN_v3,B,blind_pooled_17folds
"OTM_put(-0.10,-0.03]",short(<=30d),39691,5.938678891413715,5.470708103399158,NN_v3,B,blind_pooled_17folds
"OTM_put(-0.10,-0.03]",medium(30-90d),18931,5.212867915748772,4.694316241949713,NN_v3,B,blind_pooled_17folds
"OTM_put(-0.10,-0.03]",long(>90d),2195,3.457766386467685,2.9324156189578954,NN_v3,B,blind_pooled_17folds
"ATM(-0.03,0.03]",short(<=30d),54338,5.695183791217156,5.050116880082509,NN_v3,B,blind_pooled_17folds
"ATM(-0.03,0.03]",medium(30-90d),20807,4.443327132582026,3.860003295258576,NN_v3,B,blind_pooled_17folds
"ATM(-0.03,0.03]",long(>90d),137,3.894525140821102,3.0295609098613996,NN_v3,B,blind_pooled_17folds
"OTM_call(0.03,0.10]",short(<=30d),44872,3.7842484925890814,3.076717231686411,NN_v3,B,blind_pooled_17folds
"OTM_call(0.03,0.10]",medium(30-90d),17466,3.888703996201827,3.3881965128646665,NN_v3,B,blind_pooled_17folds
"OTM_call(0.03,0.10]",long(>90d),2418,3.234354912935195,2.7743227398935097,NN_v3,B,blind_pooled_17folds
deep_OTM_call(k>0.10),short(<=30d),5962,9.86702515990793,7.764153252560554,NN_v3,B,blind_pooled_17folds
deep_OTM_call(k>0.10),medium(30-90d),3634,2.6419696356873787,2.137040129886134,NN_v3,B,blind_pooled_17folds
deep_OTM_call(k>0.10),long(>90d),3695,4.3521250493792065,4.007501614285948,NN_v3,B,blind_pooled_17folds
deep_OTM_put(k<=-0.10),short(<=30d),266,4.697842591414797,4.1538630024866405,NN_v3,B,fold16_contaminated
deep_OTM_put(k<=-0.10),medium(30-90d),271,5.183013234703689,4.659232103655055,NN_v3,B,fold16_contaminated
deep_OTM_put(k<=-0.10),long(>90d),479,5.212026377844246,5.085175427894535,NN_v3,B,fold16_contaminated
"OTM_put(-0.10,-0.03]",short(<=30d),2668,6.859233659358428,6.781468629984736,NN_v3,B,fold16_contaminated
"OTM_put(-0.10,-0.03]",medium(30-90d),1596,5.855922782915875,5.800105943681885,NN_v3,B,fold16_contaminated
"OTM_put(-0.10,-0.03]",long(>90d),174,4.203089806448641,4.150414391526274,NN_v3,B,fold16_contaminated
"ATM(-0.03,0.03]",short(<=30d),4554,6.478943535515094,6.349571077439833,NN_v3,B,fold16_contaminated
"ATM(-0.03,0.03]",medium(30-90d),2089,4.903344724090222,4.848147915899826,NN_v3,B,fold16_contaminated
"ATM(-0.03,0.03]",long(>90d),3,3.6540167694696715,3.6260607173842607,NN_v3,B,fold16_contaminated
"OTM_call(0.03,0.10]",short(<=30d),2326,3.7549800188159805,3.414212498373604,NN_v3,B,fold16_contaminated
"OTM_call(0.03,0.10]",medium(30-90d),898,4.868121739181117,4.822661997254127,NN_v3,B,fold16_contaminated
"OTM_call(0.03,0.10]",long(>90d),206,4.076224877010231,4.025073770993952,NN_v3,B,fold16_contaminated
deep_OTM_call(k>0.10),short(<=30d),48,8.297401262829705,6.57609372637248,NN_v3,B,fold16_contaminated
deep_OTM_call(k>0.10),medium(30-90d),100,2.799512584493651,2.383727685821773,NN_v3,B,fold16_contaminated
deep_OTM_call(k>0.10),long(>90d),150,4.575991227200689,4.553864736439145,NN_v3,B,fold16_contaminated
deep_OTM_put(k<=-0.10),short(<=30d),2640,7.748887083460437,4.839085044736469,NN_v3,A,fold17_representative
deep_OTM_put(k<=-0.10),medium(30-90d),1835,6.418299580799051,3.6748468911565717,NN_v3,A,fold17_representative
deep_OTM_put(k<=-0.10),long(>90d),1147,3.866420593443664,3.1718542670609526,NN_v3,A,fold17_representative
"OTM_put(-0.10,-0.03]",short(<=30d),9214,5.427104218907331,4.332315221841952,NN_v3,A,fold17_representative
"OTM_put(-0.10,-0.03]",medium(30-90d),4196,4.67340367555927,3.4878707824627972,NN_v3,A,fold17_representative
"OTM_put(-0.10,-0.03]",long(>90d),445,4.1024844807947805,2.812523187978924,NN_v3,A,fold17_representative
"ATM(-0.03,0.03]",short(<=30d),12131,4.888832558490809,3.8775132600482882,NN_v3,A,fold17_representative
"ATM(-0.03,0.03]",medium(30-90d),4503,3.9445318261594093,2.942956554375707,NN_v3,A,fold17_representative
"ATM(-0.03,0.03]",long(>90d),33,3.4289114759276256,3.026839040390667,NN_v3,A,fold17_representative
"OTM_call(0.03,0.10]",short(<=30d),10006,5.196911641331433,3.4386073549591156,NN_v3,A,fold17_representative
"OTM_call(0.03,0.10]",medium(30-90d),3862,3.9422309517649445,2.8441755452698807,NN_v3,A,fold17_representative
"OTM_call(0.03,0.10]",long(>90d),466,3.2681286638295686,2.530671961330505,NN_v3,A,fold17_representative
deep_OTM_call(k>0.10),short(<=30d),1526,15.5381403554486,12.575464380463597,NN_v3,A,fold17_representative
deep_OTM_call(k>0.10),medium(30-90d),913,7.846782547883534,4.273481212597108,NN_v3,A,fold17_representative
deep_OTM_call(k>0.10),long(>90d),708,3.086883217115674,2.349990781995617,NN_v3,A,fold17_representative
