fold,train_wall_s,note
0,121.43,trained in Phase 4
1,121.21999999999998,trained in Phase 4
2,121.64999999999999,trained in Phase 4
3,121.42999999999999,trained in Phase 4
4,126.19999999999999,trained in Phase 4
5,132.85999999999999,trained in Phase 4
6,124.81,trained in Phase 4
7,120.77,trained in Phase 4
8,125.96999999999998,trained in Phase 4
9,120.24000000000001,trained in Phase 4
10,116.25,trained in Phase 4
11,113.19,trained in Phase 4
12,114.36000000000001,trained in Phase 4
13,113.86000000000001,trained in Phase 4
14,116.03,trained in Phase 4
15,116.92,trained in Phase 4
16,112.07,reused Phase-3 checkpoint
17,113.81,trained in Phase 4
