fold,seed,step,butterfly_viol_rate,calendar_viol_rate,min_dwdtau,mean_w_neg,nn_eval_time_s,contaminated
0,1,18000,0.0,0.0,0.02545689046382904,0.0,1.3376317024230957,False
1,1,18000,0.0,0.0,0.02212436869740486,0.0,0.8357422351837158,False
2,1,18000,0.0,0.0,0.019414635375142097,0.0,0.786893367767334,False
3,1,18000,0.0,0.0,0.018291395157575607,0.0,0.7638866901397705,False
4,1,18000,0.0,0.0,0.01985727623105049,0.0,0.8231005668640137,False
5,1,18000,0.0,0.0,0.02044195681810379,0.0,0.8373463153839111,False
6,1,18000,0.0,0.0,0.019082803279161453,0.0,0.7721309661865234,False
7,1,18000,0.0,0.0,0.018360938876867294,0.0,0.8139927387237549,False
8,1,18000,0.0,0.0,0.016187306493520737,0.0,0.7716062068939209,False
9,1,18000,0.0,0.0,0.016369450837373734,0.0,0.7360997200012207,False
10,1,18000,0.0,0.0,0.015402602031826973,0.0,0.7512187957763672,False
11,1,18000,0.0,0.0,0.01502452977001667,0.0,0.8862268924713135,False
12,1,18000,0.0,0.0,0.01464934553951025,0.0,0.7257862091064453,False
13,1,18000,0.0,0.0,0.014762599021196365,0.0,0.7699792385101318,False
14,1,18000,0.0,0.0,0.014023012481629848,0.0,0.8593087196350098,False
15,1,18000,0.0,0.0,0.01324716117233038,0.0,0.7956333160400391,False
16,1,18000,0.0,0.0,0.013530120253562927,0.0,0.7737424373626709,True
17,1,18000,0.0,0.0,0.012833064422011375,0.0,0.8441817760467529,False
