method,subset,n,rmse_volpts,mae_volpts
NN_v3,monthly,125677,4.927286212203827,4.201778094902492
SVI,monthly,23634,2.856144216458163,1.1656553168891002
SSVI,monthly,23634,2.0695166166097594,1.3346081345666414
ThinPlate,monthly,23634,0.6728856139867198,0.17280770149991978
CubicSpline,monthly,23634,180.82817143816186,3.1763058481150606
NN_v3,weekly,109502,5.3786742118509565,4.589203904695699
SVI,weekly,20661,1.3725997200019235,0.6658085730018439
SSVI,weekly,20661,2.360023508144945,1.6343581673655945
ThinPlate,weekly,20661,0.636230588405299,0.18733181826971598
CubicSpline,weekly,20661,22.30440378897038,1.225763117180117
