method,subset,n,rmse_volpts,mae_volpts
NN_v3,all_days,235179,5.1423892373185796,4.382167929981201
SVI,all_days,44295,2.287209840527973,0.932506348033595
SSVI,all_days,44295,2.2097784395955804,1.4744238119040198
ThinPlate,all_days,44295,0.6560431096371955,0.17958234370740955
CubicSpline,all_days,44295,132.9616666257003,2.2664929264795064
NN_v3,excl_top_vol_decile,227185,5.078970122384939,4.35340821778273
SVI,excl_top_vol_decile,42798,2.263489208215924,0.9175992888345953
SSVI,excl_top_vol_decile,42798,2.196698739280387,1.471586114718113
ThinPlate,excl_top_vol_decile,42798,0.6134669896158134,0.17275475190600267
CubicSpline,excl_top_vol_decile,42798,135.07672158652056,2.2682477869598867
