fold,seed,step,task,n,rmse_volpts,mae_volpts
2,1,18000,A,12641,7.676334748080545,4.825349141371087
2,1,18000,B,14492,4.305193780649705,2.7019404854226514
2,2,18000,A,12641,7.789200445788223,4.969526869834095
2,2,18000,B,14492,4.553709281847243,2.794833996134289
2,3,18000,A,12641,7.746912263422903,4.95143773580811
2,3,18000,B,14492,4.685792993787348,2.943111625047938
9,1,18000,A,30349,6.464750755914749,4.353917857549612
9,1,18000,B,13843,4.3402923161518725,3.914255345847115
9,2,18000,A,30349,6.355234113988333,4.200308759733058
9,2,18000,B,13843,3.7648455645274415,3.3948913877486753
9,3,18000,A,30349,6.965437707983742,4.876773965461109
9,3,18000,B,13843,5.201269188947577,4.311404592532033
17,1,18000,A,53625,5.710652098636066,3.928713354644643
17,1,18000,B,5801,4.617973676315642,4.07855664703848
17,2,18000,A,53625,5.697749593140056,3.753928547761017
17,2,18000,B,5801,4.1681027939892425,3.6242304153582565
17,3,18000,A,53625,6.830071029362034,4.722490423516906
17,3,18000,B,5801,5.5308271619427,4.793747030956016
