fold,seed,step,task,n,rmse_volpts,mae_volpts,contaminated
0,1,18000,A,8437,8.319914672154457,5.177935384513431,False
0,1,18000,B,11777,6.015730316678015,5.552558637586896,False
0,2,18000,A,8437,8.462127411731952,5.236663705451411,False
0,2,18000,B,11777,6.161253909600337,5.659962163373531,False
0,3,18000,A,8437,8.545279118534237,5.335015719742155,False
0,3,18000,B,11777,6.087863735652752,5.519381399602221,False
1,1,18000,A,10428,8.034888622520638,5.105166430358024,False
1,1,18000,B,13160,4.760728738091783,3.6992657538621785,False
1,2,18000,A,10428,8.313041574564284,5.216264846754089,False
1,2,18000,B,13160,5.149301683076456,3.90122476548369,False
1,3,18000,A,10428,8.251668860051012,5.281261252001317,False
1,3,18000,B,13160,5.085740666999587,3.9247268777748867,False
2,1,18000,A,12641,7.676334748080546,4.825349141371087,False
2,1,18000,B,14492,4.305193781343763,2.7019404856819436,False
2,2,18000,A,12641,7.789200445788223,4.9695268698340955,False
2,2,18000,B,14492,4.553709281953232,2.794833996565209,False
2,3,18000,A,12641,7.746912263422903,4.95143773580811,False
2,3,18000,B,14492,4.685792992016134,2.9431116227388374,False
3,1,18000,A,15104,7.465417286498896,4.740849405010054,False
3,1,18000,B,15242,3.3426867979419224,2.607514838145682,False
3,2,18000,A,15104,7.3579749625116335,4.652671384991477,False
3,2,18000,B,15242,3.0229418952651512,2.3239107744342102,False
3,3,18000,A,15104,7.62081521036857,5.003644948772025,False
3,3,18000,B,15242,4.091818814386429,3.1575069291699522,False
4,1,18000,A,17843,7.021298326027376,4.442441763394493,False
4,1,18000,B,13071,5.764671895614989,5.108158898673945,False
4,2,18000,A,17843,7.003240008748914,4.40347555019475,False
4,2,18000,B,13071,5.577187207662664,4.901038619664276,False
4,3,18000,A,17843,7.3466312564754706,4.71205162971451,False
4,3,18000,B,13071,6.086127209912253,5.31514436212233,False
5,1,18000,A,20721,6.544865249726493,4.128586428810152,False
5,1,18000,B,13172,5.934522996655165,5.453861479713728,False
5,2,18000,A,20721,6.65197483652409,4.106699877881823,False
5,2,18000,B,13172,5.6677715808875195,5.151070970147668,False
5,3,18000,A,20721,6.848085926441491,4.38403190011449,False
5,3,18000,B,13172,6.099809730370441,5.536272973864712,False
6,1,18000,A,23171,6.525131920981468,4.156555731766733,False
6,1,18000,B,11826,7.542594989153391,7.2077887716308044,False
6,2,18000,A,23171,6.542385229111671,4.0677817283334905,False
6,2,18000,B,11826,7.026697720054349,6.643133485160561,False
6,3,18000,A,23171,6.823771722474822,4.473272504835489,False
6,3,18000,B,11826,7.744002187561861,7.384577801579315,False
7,1,18000,A,25641,6.415894885344102,4.1736557783536545,False
7,1,18000,B,13260,7.353384389790166,7.024936012195371,False
7,2,18000,A,25641,6.51666902086819,4.0937913195041435,False
7,2,18000,B,13260,6.710595011107565,6.346712128934164,False
7,3,18000,A,25641,6.71454440416853,4.455809490141193,False
7,3,18000,B,13260,7.418196746706801,7.037877614575981,False
8,1,18000,A,27846,6.601815235938278,4.341594055253186,False
8,1,18000,B,14039,6.319906350524868,5.978217392604096,False
8,2,18000,A,27846,6.380841140627689,4.237992174687262,False
8,2,18000,B,14039,6.449595438006679,6.133712011805671,False
8,3,18000,A,27846,6.883852246991584,4.657598095595363,False
8,3,18000,B,14039,6.478165945445878,6.0326510346590805,False
9,1,18000,A,30349,6.46475075591475,4.353917857549613,False
9,1,18000,B,13843,4.3402923161518725,3.914255345847115,False
9,2,18000,A,30349,6.355234113988333,4.200308759733059,False
9,2,18000,B,13843,3.7648455645274415,3.3948913877486753,False
9,3,18000,A,30349,6.9654377079837415,4.876773965461109,False
9,3,18000,B,13843,5.201269188947577,4.311404592532033,False
10,1,18000,A,32998,6.43184479368323,4.400932420752134,False
10,1,18000,B,13138,4.975934273187354,4.306440985617983,False
10,2,18000,A,32998,6.330035672179772,4.265602112475975,False
10,2,18000,B,13138,4.73832019539798,4.017861879493317,False
10,3,18000,A,32998,7.162351268345312,5.064822873403591,False
10,3,18000,B,13138,5.880316966565869,4.906657593101788,False
11,1,18000,A,35570,6.2669762848306965,4.298838249978551,False
11,1,18000,B,14747,4.404164085236787,4.064425315947848,False
11,2,18000,A,35570,6.152944498545276,4.080234700026159,False
11,2,18000,B,14747,3.6475231903565035,3.296803410599154,False
11,3,18000,A,35570,7.047001312314031,4.96358183304124,False
11,3,18000,B,14747,5.37331704175315,4.525597030227275,False
12,1,18000,A,38017,6.206103628640768,4.27617247918338,False
12,1,18000,B,16280,4.212350912447054,3.5192544054303414,False
12,2,18000,A,38017,6.153356409104558,4.154322663132607,False
12,2,18000,B,16280,3.9810432402845737,3.1938813174801566,False
12,3,18000,A,38017,7.072799789963001,4.981156034268817,False
12,3,18000,B,16280,5.275739644987629,4.05524051759707,False
13,1,18000,A,40790,6.017137396286515,4.1984220941640205,False
13,1,18000,B,16950,4.0812420922684245,3.469037989356951,False
13,2,18000,A,40790,5.941486904964799,4.147918518665405,False
13,2,18000,B,16950,3.9905535332268083,3.451133861321608,False
13,3,18000,A,40790,7.052989212640634,4.980943190262218,False
13,3,18000,B,16950,5.261841434821787,4.181704933591653,False
14,1,18000,A,43881,5.940733339556803,4.128834176068723,False
14,1,18000,B,16946,3.1140460751018373,2.407235658046192,False
14,2,18000,A,43881,5.967985762938544,4.041706074073971,False
14,2,18000,B,16946,3.0537441452786758,2.3164523870142095,False
14,3,18000,A,43881,7.057874615124431,4.947786393176243,False
14,3,18000,B,16946,4.237602766175985,3.1520391329955744,False
15,1,18000,A,47103,5.919315272740167,4.069235051066012,False
15,1,18000,B,17435,5.222841827240517,4.900837846540784,False
15,2,18000,A,47103,5.965880350756014,3.9380161089187204,False
15,2,18000,B,17435,4.53198222164448,4.23828147013689,False
15,3,18000,A,47103,7.05923644193204,4.883337705988436,False
15,3,18000,B,17435,6.456520655067914,5.704227135434838,False
16,1,18000,A,50316,5.722285946327685,3.9203582318672114,True
16,1,18000,B,15828,5.707746913773846,5.450376722793301,True
16,2,18000,A,50316,5.770358433108564,3.7918565912606503,True
16,2,18000,B,15828,5.106122980202046,4.844219564149499,True
16,3,18000,A,50316,6.88689360892553,4.758386516541596,True
16,3,18000,B,15828,6.822065520526733,6.214878966717237,True
17,1,18000,A,53625,5.710652098636065,3.928713354644643,False
17,1,18000,B,5801,4.617973676315642,4.07855664703848,False
17,2,18000,A,53625,5.697749593140057,3.753928547761017,False
17,2,18000,B,5801,4.1681027939892425,3.6242304153582565,False
17,3,18000,A,53625,6.830071029362034,4.7224904235169065,False
17,3,18000,B,5801,5.5308271619427,4.793747030956016,False
