fold,vol_train_mean,vol_test_mean,vol_gap_train_minus_test,nn_rmse_taskA,nn_rmse_taskB,rmse_gap_A_minus_B
0,0.2305365647234312,0.15378253477333317,0.07675402995009803,8.319914672154457,6.015730316774032,2.304184355380425
1,0.21490622009830523,0.21102125527435425,0.0038849648239509815,8.034888622520638,4.760728738091784,3.2741598844288538
2,0.2072192657572337,0.19572104336059545,0.011498222396638252,7.676334748080545,4.305193780649705,3.37114096743084
3,0.20763789637193472,0.17367065066090118,0.033967245711033545,7.465417286498898,3.3426867979419224,4.122730488556975
4,0.20643847285455963,0.14142933915123426,0.06500913370332537,7.021298326027376,5.764671895614989,1.2566264304123864
5,0.20339815945514803,0.1332231807573338,0.07017497869781422,6.5448652497264925,5.934522996655166,0.6103422530713267
6,0.19828991886252811,0.1039565056206431,0.09433341324188502,6.525131920981468,7.542594989354399,-1.0174630683729307
7,0.19325982190177743,0.10230576650345352,0.09095405539832391,6.415894885229658,7.353384389790166,-0.9374895045605074
8,0.18704381380796298,0.11041647327189796,0.07662734053606501,6.601815235938279,6.319906350524868,0.28190888541341064
9,0.18127246572127748,0.13723929325237202,0.04403317246890545,6.464750755914749,4.3402923161518725,2.1244584397628765
10,0.17702398649921103,0.15010752629441457,0.02691646020479646,6.43184479368323,4.975934273187353,1.4559105204958769
11,0.17473750987582945,0.12610582375505136,0.04863168612077809,6.266976284581577,4.404164085236787,1.8628121993447895
12,0.17339892381162214,0.1345164532452295,0.03888247056639263,6.206103628586251,4.212350912438726,1.993752716147525
13,0.17080752106879632,0.14176454225571516,0.029042978813081155,6.017137396286514,4.08124209329839,1.9358953029881238
14,0.16900625570082434,0.15263377526395758,0.01637248043686676,5.940733339556803,3.114046075492562,2.826687264064241
15,0.16771808165419516,0.10612809375647014,0.06158998789772502,5.919315272740166,5.222841827240517,0.6964734454996488
17,0.16428210856920655,0.11534096337558886,0.0489411451936177,5.710652098636066,4.617973676315642,1.0926784223204242
