date,expiry,method,n_grid,n_viol,n_w_neg,n_grid_observed,n_viol_observed,n_grid_padded,n_viol_padded
2020-01-01,2020-01-09,SVI,61,0,0,43,0,18,0
2020-01-01,2020-01-09,CubicSpline,61,16,0,43,9,18,7
2020-01-01,2020-01-09,SSVI,61,0,0,43,0,18,0
2020-01-01,2020-01-09,ThinPlate,61,10,0,43,8,18,2
2020-01-01,2020-01-16,SVI,61,0,0,43,0,18,0
2020-01-01,2020-01-16,CubicSpline,61,0,0,43,0,18,0
2020-01-01,2020-01-16,SSVI,61,0,0,43,0,18,0
2020-01-01,2020-01-16,ThinPlate,61,0,0,43,0,18,0
2020-01-01,2020-01-30,SVI,61,0,0,43,0,18,0
2020-01-01,2020-01-30,CubicSpline,61,10,0,43,10,18,0
2020-01-01,2020-01-30,SSVI,61,0,0,43,0,18,0
2020-01-01,2020-01-30,ThinPlate,61,8,0,43,8,18,0
2020-01-01,2020-02-27,SVI,61,0,0,43,0,18,0
2020-01-01,2020-02-27,CubicSpline,61,1,0,43,1,18,0
2020-01-01,2020-02-27,SSVI,61,0,0,43,0,18,0
2020-01-01,2020-02-27,ThinPlate,61,4,0,43,3,18,1
2020-01-01,2020-03-26,SVI,61,0,0,43,0,18,0
2020-01-01,2020-03-26,CubicSpline,61,0,0,43,0,18,0
2020-01-01,2020-03-26,SSVI,61,0,0,43,0,18,0
2020-01-01,2020-03-26,ThinPlate,61,2,0,43,2,18,0
2020-01-02,2020-01-09,SVI,61,6,0,43,0,18,6
2020-01-02,2020-01-09,CubicSpline,61,12,0,43,10,18,2
2020-01-02,2020-01-09,SSVI,61,0,0,43,0,18,0
2020-01-02,2020-01-09,ThinPlate,61,16,0,43,14,18,2
2020-01-02,2020-01-16,SVI,61,0,0,43,0,18,0
2020-01-02,2020-01-16,CubicSpline,61,0,0,43,0,18,0
2020-01-02,2020-01-16,SSVI,61,0,0,43,0,18,0
2020-01-02,2020-01-16,ThinPlate,61,1,0,43,0,18,1
2020-01-02,2020-01-30,SVI,61,0,0,43,0,18,0
2020-01-02,2020-01-30,CubicSpline,61,7,0,43,7,18,0
2020-01-02,2020-01-30,SSVI,61,0,0,43,0,18,0
2020-01-02,2020-01-30,ThinPlate,61,13,0,43,6,18,7
2020-01-02,2020-02-27,SVI,61,0,0,43,0,18,0
2020-01-02,2020-02-27,CubicSpline,61,4,0,43,3,18,1
2020-01-02,2020-02-27,SSVI,61,0,0,43,0,18,0
2020-01-02,2020-02-27,ThinPlate,61,1,0,43,1,18,0
2020-01-02,2020-03-26,SVI,61,0,0,43,0,18,0
2020-01-02,2020-03-26,CubicSpline,61,0,0,43,0,18,0
2020-01-02,2020-03-26,SSVI,61,0,0,43,0,18,0
2020-01-02,2020-03-26,ThinPlate,61,1,0,43,1,18,0
2020-01-03,2020-01-16,SVI,61,0,0,43,0,18,0
2020-01-03,2020-01-16,CubicSpline,61,0,0,43,0,18,0
2020-01-03,2020-01-16,SSVI,61,0,0,43,0,18,0
2020-01-03,2020-01-16,ThinPlate,61,1,0,43,1,18,0
2020-01-03,2020-01-30,SVI,61,3,0,43,0,18,3
2020-01-03,2020-01-30,CubicSpline,61,6,0,43,6,18,0
2020-01-03,2020-01-30,SSVI,61,0,0,43,0,18,0
2020-01-03,2020-01-30,ThinPlate,61,8,0,43,7,18,1
2020-01-03,2020-02-27,SVI,61,0,0,43,0,18,0
2020-01-03,2020-02-27,CubicSpline,61,0,0,43,0,18,0
2020-01-03,2020-02-27,SSVI,61,0,0,43,0,18,0
2020-01-03,2020-02-27,ThinPlate,61,0,0,43,0,18,0
2020-01-03,2020-03-26,SVI,61,0,0,43,0,18,0
2020-01-03,2020-03-26,CubicSpline,61,6,0,43,5,18,1
2020-01-03,2020-03-26,SSVI,61,0,0,43,0,18,0
2020-01-03,2020-03-26,ThinPlate,61,2,0,43,1,18,1
2020-01-06,2020-01-16,SVI,61,0,0,43,0,18,0
2020-01-06,2020-01-16,CubicSpline,61,8,0,43,2,18,6
2020-01-06,2020-01-16,SSVI,61,0,0,43,0,18,0
2020-01-06,2020-01-16,ThinPlate,61,7,0,43,5,18,2
2020-01-06,2020-01-30,SVI,61,0,0,43,0,18,0
2020-01-06,2020-01-30,CubicSpline,61,9,0,43,8,18,1
2020-01-06,2020-01-30,SSVI,61,0,0,43,0,18,0
2020-01-06,2020-01-30,ThinPlate,61,8,0,43,8,18,0
2020-01-06,2020-02-27,SVI,61,0,0,43,0,18,0
2020-01-06,2020-02-27,CubicSpline,61,0,0,43,0,18,0
2020-01-06,2020-02-27,SSVI,61,0,0,43,0,18,0
2020-01-06,2020-02-27,ThinPlate,61,3,0,43,2,18,1
2020-01-06,2020-03-26,CubicSpline,61,1,0,43,1,18,0
2020-01-06,2020-03-26,SSVI,61,0,0,43,0,18,0
2020-01-06,2020-03-26,ThinPlate,61,10,0,43,3,18,7
2020-01-07,2020-01-16,SVI,61,0,0,43,0,18,0
2020-01-07,2020-01-16,CubicSpline,61,2,0,43,2,18,0
2020-01-07,2020-01-16,SSVI,61,0,0,43,0,18,0
2020-01-07,2020-01-16,ThinPlate,61,3,0,43,2,18,1
2020-01-07,2020-01-23,SVI,61,0,0,43,0,18,0
2020-01-07,2020-01-23,CubicSpline,61,1,0,43,1,18,0
2020-01-07,2020-01-23,SSVI,61,0,0,43,0,18,0
2020-01-07,2020-01-23,ThinPlate,61,1,0,43,1,18,0
2020-01-07,2020-01-30,SVI,61,0,0,43,0,18,0
2020-01-07,2020-01-30,CubicSpline,61,11,0,43,11,18,0
2020-01-07,2020-01-30,SSVI,61,0,0,43,0,18,0
2020-01-07,2020-01-30,ThinPlate,61,7,0,43,7,18,0
2020-01-07,2020-02-27,SVI,61,0,0,43,0,18,0
2020-01-07,2020-02-27,CubicSpline,61,5,0,43,5,18,0
2020-01-07,2020-02-27,SSVI,61,0,0,43,0,18,0
2020-01-07,2020-02-27,ThinPlate,61,6,0,43,6,18,0
2020-01-07,2020-03-26,SVI,61,12,0,43,3,18,9
2020-01-07,2020-03-26,CubicSpline,61,4,0,43,4,18,0
2020-01-07,2020-03-26,SSVI,61,0,0,43,0,18,0
2020-01-07,2020-03-26,ThinPlate,61,11,0,43,6,18,5
2020-01-08,2020-01-16,SVI,61,0,0,43,0,18,0
2020-01-08,2020-01-16,CubicSpline,61,12,0,43,3,18,9
2020-01-08,2020-01-16,SSVI,61,0,0,43,0,18,0
2020-01-08,2020-01-16,ThinPlate,61,11,0,43,5,18,6
2020-01-08,2020-01-23,SVI,61,0,0,43,0,18,0
2020-01-08,2020-01-23,CubicSpline,61,0,0,43,0,18,0
2020-01-08,2020-01-23,SSVI,61,0,0,43,0,18,0
2020-01-08,2020-01-23,ThinPlate,61,0,0,43,0,18,0
2020-01-08,2020-01-30,SVI,61,0,0,43,0,18,0
2020-01-08,2020-01-30,CubicSpline,61,7,0,43,7,18,0
2020-01-08,2020-01-30,SSVI,61,0,0,43,0,18,0
