scope,fold,n,rmse_volpts,mae_volpts,contaminated
blind_pooled_17folds,0,2213,6.012151122596385,5.559570327169239,False
blind_pooled_17folds,1,2463,4.729014246527407,3.6735717959360676,False
blind_pooled_17folds,2,2739,4.393225628469923,2.7137377972571963,False
blind_pooled_17folds,3,2878,3.2508438212095867,2.6013856362611114,False
blind_pooled_17folds,4,2450,5.789457184778676,5.123434529814999,False
blind_pooled_17folds,5,2470,5.988442652720188,5.503224051478296,False
blind_pooled_17folds,6,2205,7.5516180781988975,7.192444388423989,False
blind_pooled_17folds,7,2503,7.3585032471324014,7.019722669328803,False
blind_pooled_17folds,8,2649,6.323452184239738,5.975650038037712,False
blind_pooled_17folds,9,2572,4.3722202025161545,3.9328227734436387,False
blind_pooled_17folds,10,2447,5.013515692467827,4.301954720280477,False
blind_pooled_17folds,11,2773,4.415167575006118,4.089456959523304,False
blind_pooled_17folds,12,3091,4.286122559469248,3.5248987558528033,False
blind_pooled_17folds,13,3222,4.058881567928696,3.4677885691306027,False
blind_pooled_17folds,14,3213,3.155550266788607,2.419822356707424,False
blind_pooled_17folds,15,3309,5.247056715628421,4.916695224809633,False
blind_pooled_17folds,17,1098,4.68211362643238,4.107480655240107,False
fold16_contaminated,16,3004,5.688708269123655,5.425153813476127,True
