fold,n_grid,butterfly_viol_rate,calendar_viol_rate,min_dwdtau,contaminated
0,124025,0.0,0.0,0.010297875,False
1,124025,0.0,0.0,0.014704101,False
2,124025,0.0,0.0,0.016687874,False
3,124025,0.0,0.0,0.015438226,False
4,124025,0.0,0.0,0.012353156,False
5,124025,0.0,0.0,0.01323634,False
6,124025,0.0,0.0,0.013483081,False
7,124025,0.0,0.0,0.012614823,False
8,124025,0.0,0.0,0.0114959385,False
9,124025,0.0,0.0,0.012297477,False
10,124025,0.0,0.0,0.012184554,False
11,124025,0.0,0.0,0.01266895,False
12,124025,0.0,0.0,0.012217053,False
13,124025,0.0007740374924410401,0.0,0.013369447,False
14,124025,0.0,0.0,0.012358213,False
15,124025,0.0,0.0,0.010608235,False
16,124025,0.0,0.0,0.010764478,True
17,99220,0.0,0.0,0.009349729,False
