date,expiry,method,n_grid,n_price_convex_viol,n_price_slope_viol,n_density_negative,n_iv_undefined,n_scored,n_viol,n_viol_observed,n_grid_observed
2020-01-09,2020-12-31,Fengler,61,0,0,0,3,58,15,0,43
2020-01-09,2020-03-26,Fengler,61,0,0,0,0,61,0,0,43
2020-01-09,2020-02-27,Fengler,61,0,0,0,0,61,0,0,43
2020-01-09,2020-01-30,Fengler,61,0,0,0,11,50,0,0,43
2020-01-09,2020-01-23,Fengler,61,0,0,0,0,61,0,0,43
2020-01-09,2020-01-16,Fengler,61,0,0,0,0,61,0,0,43
2020-01-27,2020-03-26,Fengler,61,0,0,0,0,61,0,0,43
2020-01-27,2020-02-27,Fengler,61,0,0,0,7,54,1,0,43
2020-01-27,2020-02-06,Fengler,61,0,0,0,3,57,4,0,43
2020-02-12,2020-04-30,Fengler,61,0,0,0,12,49,6,0,43
2020-02-12,2020-03-26,Fengler,61,0,0,0,7,54,0,0,43
2020-02-12,2020-02-27,Fengler,61,0,0,0,5,56,0,0,43
2020-02-12,2020-02-20,Fengler,61,0,0,0,0,61,0,0,43
2020-03-02,2020-12-31,Fengler,61,0,0,0,4,57,11,0,43
2020-03-02,2020-04-30,Fengler,61,0,0,0,2,59,0,0,43
2020-03-02,2020-03-26,Fengler,61,0,0,0,0,61,0,0,43
2020-03-02,2020-03-12,Fengler,61,0,0,0,1,60,8,0,43
2020-03-19,2020-04-30,Fengler,61,0,0,0,0,61,16,2,43
2020-03-19,2020-03-26,Fengler,61,0,0,0,0,61,5,1,43
2020-04-09,2020-06-25,Fengler,61,0,0,0,3,58,6,0,43
2020-04-09,2020-05-28,Fengler,61,0,0,0,0,61,1,0,43
2020-04-09,2020-04-30,Fengler,61,0,0,0,0,61,0,0,43
2020-04-09,2020-04-16,Fengler,61,0,0,0,2,59,0,0,43
2020-04-29,2020-06-25,Fengler,61,0,0,0,0,61,0,0,43
2020-04-29,2020-05-28,Fengler,61,0,0,0,6,55,1,0,43
2020-04-29,2020-05-14,Fengler,61,0,0,0,6,55,3,0,43
2020-04-29,2020-05-07,Fengler,61,0,0,0,0,61,0,0,43
2020-05-18,2020-12-31,Fengler,61,0,0,0,3,58,11,0,43
2020-05-18,2020-06-25,Fengler,61,0,0,0,5,56,2,0,43
2020-05-18,2020-05-28,Fengler,61,0,0,0,0,61,0,0,43
2020-06-04,2020-12-31,Fengler,61,0,0,0,4,57,5,0,43
2020-06-04,2020-07-30,Fengler,61,0,0,0,6,55,3,0,43
2020-06-04,2020-06-25,Fengler,61,0,0,0,0,61,0,0,43
2020-06-04,2020-06-18,Fengler,61,0,0,0,1,60,2,0,43
2020-06-04,2020-06-11,Fengler,61,0,0,0,2,58,0,0,43
2020-06-22,2020-12-31,Fengler,61,0,0,0,5,56,4,0,43
2020-06-22,2020-08-27,Fengler,61,0,0,0,2,59,13,0,43
2020-06-22,2020-07-30,Fengler,61,0,0,0,5,56,2,0,43
2020-06-22,2020-07-09,Fengler,61,0,0,0,0,61,0,0,43
2020-06-22,2020-07-02,Fengler,61,0,0,0,0,61,0,0,43
2020-07-08,2020-12-31,Fengler,61,0,0,0,4,57,4,0,43
2020-07-08,2020-09-24,Fengler,61,0,0,0,1,60,0,0,43
2020-07-08,2020-08-27,Fengler,61,0,0,0,6,55,2,0,43
2020-07-08,2020-07-30,Fengler,61,0,0,0,6,55,0,0,43
2020-07-08,2020-07-23,Fengler,61,0,0,0,5,55,0,0,43
2020-07-08,2020-07-16,Fengler,61,0,0,0,7,54,0,0,43
2020-07-24,2020-12-31,Fengler,61,0,0,0,4,57,2,0,43
2020-07-24,2020-09-24,Fengler,61,0,0,0,0,61,0,0,43
2020-07-24,2020-08-27,Fengler,61,0,0,0,6,55,1,0,43
2020-07-24,2020-08-13,Fengler,61,0,0,0,5,56,12,0,43
2020-07-24,2020-08-06,Fengler,61,0,0,0,1,60,0,0,43
2020-08-13,2020-12-31,Fengler,61,0,0,0,6,55,2,0,43
2020-08-13,2020-10-29,Fengler,61,0,0,0,5,56,9,0,43
2020-08-13,2020-09-24,Fengler,61,0,0,0,0,61,0,0,43
2020-08-13,2020-09-03,Fengler,61,0,0,0,5,56,4,0,43
2020-08-13,2020-08-27,Fengler,61,0,0,0,2,59,0,0,43
2020-08-13,2020-08-20,Fengler,61,0,0,0,0,61,0,0,43
2020-08-31,2020-12-31,Fengler,61,0,0,0,3,58,0,0,43
2020-08-31,2020-10-29,Fengler,61,0,0,0,6,55,2,0,43
2020-08-31,2020-09-24,Fengler,61,0,0,0,0,61,0,0,43
2020-08-31,2020-09-17,Fengler,61,0,0,0,0,61,8,0,43
2020-08-31,2020-09-10,Fengler,61,0,0,0,0,61,2,0,43
2020-09-16,2020-12-31,Fengler,61,0,0,0,1,60,3,0,43
2020-09-16,2020-11-26,Fengler,61,0,0,0,0,61,1,0,43
2020-09-16,2020-10-29,Fengler,61,0,0,0,6,55,0,0,43
2020-09-16,2020-10-01,Fengler,61,0,0,0,3,58,0,0,43
2020-09-16,2020-09-24,Fengler,61,0,0,0,0,61,0,0,43
2020-10-05,2020-12-31,Fengler,61,0,0,0,2,59,0,0,43
2020-10-05,2020-11-26,Fengler,61,0,0,0,4,57,1,0,43
2020-10-05,2020-10-29,Fengler,61,0,0,0,0,61,0,0,43
2020-10-05,2020-10-22,Fengler,61,0,0,0,0,61,0,0,43
2020-10-05,2020-10-15,Fengler,61,0,0,0,0,61,0,0,43
2020-10-21,2020-12-31,Fengler,61,0,0,0,0,61,0,0,43
2020-10-21,2020-11-26,Fengler,61,0,0,0,12,49,1,0,43
2020-10-21,2020-11-05,Fengler,61,0,0,0,6,55,2,0,43
2020-10-21,2020-10-29,Fengler,61,0,0,0,0,61,0,0,43
2020-11-06,2021-03-25,Fengler,61,0,0,0,4,57,3,0,43
2020-11-06,2020-12-31,Fengler,61,0,0,0,0,61,0,0,43
2020-11-06,2020-11-26,Fengler,61,0,0,0,5,56,0,0,43
2020-11-06,2020-11-19,Fengler,61,0,0,0,0,61,0,0,43
2020-11-25,2021-03-25,Fengler,61,0,0,0,4,56,2,0,43
2020-11-25,2021-01-28,Fengler,61,0,0,0,6,55,2,0,43
2020-11-25,2020-12-31,Fengler,61,0,0,0,1,60,0,0,43
2020-11-25,2020-12-10,Fengler,61,0,0,0,0,61,0,0,43
2020-11-25,2020-12-03,Fengler,61,0,0,0,0,61,0,0,43
2020-12-14,2021-03-25,Fengler,61,0,0,0,4,57,2,0,43
2020-12-14,2021-01-28,Fengler,61,0,0,0,4,57,2,0,43
2020-12-14,2020-12-31,Fengler,61,0,0,0,1,59,0,0,43
2020-12-14,2020-12-24,Fengler,61,0,0,0,2,59,0,0,43
2020-12-31,2021-03-25,Fengler,61,0,0,0,5,56,1,0,43
2020-12-31,2021-02-25,Fengler,61,0,0,0,5,55,9,0,43
2020-12-31,2021-01-28,Fengler,61,0,0,0,7,54,0,0,43
2020-12-31,2021-01-21,Fengler,61,0,0,0,7,53,3,0,43
2020-12-31,2021-01-14,Fengler,61,0,0,0,6,55,1,0,43
2020-12-31,2021-01-07,Fengler,61,0,0,0,2,59,0,0,43
2021-01-18,2021-03-25,Fengler,61,0,0,0,5,56,2,0,43
2021-01-18,2021-02-25,Fengler,61,0,0,0,0,61,0,0,43
2021-01-18,2021-02-04,Fengler,61,0,0,0,1,60,0,0,43
2021-01-18,2021-01-28,Fengler,61,0,0,0,4,56,0,0,43
2021-02-04,2021-03-25,Fengler,61,0,0,0,5,56,3,0,43
2021-02-04,2021-02-25,Fengler,61,0,0,0,3,58,0,0,43
2021-02-04,2021-02-18,Fengler,61,0,0,0,3,58,0,0,43
2021-02-04,2021-02-11,Fengler,61,0,0,0,2,59,0,0,43
2021-02-22,2021-12-30,Fengler,61,0,0,0,3,57,8,0,43
2021-02-22,2021-06-24,Fengler,61,0,0,0,13,48,5,0,43
2021-02-22,2021-04-29,Fengler,61,0,0,0,5,56,11,3,43
2021-02-22,2021-03-25,Fengler,61,0,0,0,6,55,0,0,43
2021-02-22,2021-03-10,Fengler,61,0,0,0,0,60,2,0,43
2021-02-22,2021-03-04,Fengler,61,0,0,0,0,61,0,0,43
2021-03-10,2021-12-30,Fengler,61,0,0,0,0,61,15,0,43
2021-03-10,2021-06-24,Fengler,61,0,0,0,5,56,3,0,43
2021-03-10,2021-04-29,Fengler,61,0,0,0,6,54,2,0,43
