fold,method,window,scope,n,coverage,rmse_volpts,mae_volpts,median_abs_err_volpts,trimmed_mean_abs_err_volpts
0,Fengler,train_window,all_heldout,8293,0.9829323219153727,1.0014311031930239,0.313126921766301,0.08741103332821631,0.13266748730622763
0,Fengler,train_window,in_range_only,7662,1.0,0.4853904387471103,0.18309495574461754,0.07871084281810964,0.10739022247352975
0,Fengler,test_window,all_heldout,2187,0.9882512426570267,0.6746513439794654,0.21926038303591408,0.06125833606481779,0.09381607267973681
0,Fengler,test_window,in_range_only,2052,1.0,0.38913571185048584,0.14171733461426939,0.05629480982985019,0.07871691360372267
1,Fengler,train_window,all_heldout,10251,0.9830264672036824,0.9404764701923476,0.29209590398666296,0.08091082646315972,0.12276962301173062
1,Fengler,train_window,in_range_only,9483,1.0,0.4528043771709044,0.170384451534898,0.07220862804988015,0.09913153663023266
1,Fengler,test_window,all_heldout,2433,0.9878197320341048,1.0055830477717635,0.31481464885959687,0.07984680421627977,0.1253156176573718
1,Fengler,test_window,in_range_only,2289,1.0,0.5849556787513073,0.20249489167016899,0.073809784438017,0.10650771355321287
2,Fengler,train_window,all_heldout,12438,0.9839411438968436,0.899446469780256,0.2792890793911261,0.0766039113790043,0.11725033364278303
2,Fengler,train_window,in_range_only,11535,1.0,0.44214906321663383,0.16528476155473934,0.0687419400950462,0.0953533375604878
2,Fengler,test_window,all_heldout,2715,0.9912376779846659,0.7657748811826849,0.24341643506421298,0.07081534805856993,0.10158936272240748
2,Fengler,test_window,in_range_only,2562,1.0,0.43323614957478507,0.15711874145513383,0.06624302189181391,0.08767749416071673
3,Fengler,train_window,all_heldout,14871,0.984573622881356,0.9176514576013595,0.28510131195899574,0.07721807046949247,0.11857008724929013
3,Fengler,train_window,in_range_only,13824,1.0,0.4688100514321789,0.1714460743320989,0.06954360012740302,0.09717998984656359
3,Fengler,test_window,all_heldout,2844,0.9881862404447533,0.7020512800111969,0.20451921608805046,0.05906677071114835,0.08237589865564002
3,Fengler,test_window,in_range_only,2695,1.0,0.34346843380006414,0.12785253589581935,0.05514870602765787,0.0720393959451613
4,Fengler,train_window,all_heldout,17586,0.985596592501261,0.8958863373577505,0.27866582687032665,0.07600833461221951,0.11574033290018386
4,Fengler,train_window,in_range_only,16386,1.0,0.4634281023342821,0.16920595308037276,0.06884812411784985,0.09563327306737576
4,Fengler,test_window,all_heldout,2420,0.9877551020408163,0.5401829149620208,0.17882864226573353,0.053865354155260836,0.07732620825276881
4,Fengler,test_window,in_range_only,2313,1.0,0.34034595477257384,0.12588609830757339,0.05076360347635034,0.06815389429845782
5,Fengler,train_window,all_heldout,20430,0.9859562762414942,0.8714900166993522,0.26834409603015075,0.07308454634645939,0.11058643345224761
5,Fengler,train_window,in_range_only,19081,1.0,0.44843536509969395,0.1633651973908192,0.06654797334113005,0.09193313369872683
5,Fengler,test_window,all_heldout,2432,0.9846153846153847,0.7010393290981558,0.21550742127034236,0.0507192667885098,0.07597250205226268
5,Fengler,test_window,in_range_only,2292,1.0,0.4506489133558665,0.1442326686484438,0.047116040002995185,0.06519709872931836
6,Fengler,train_window,all_heldout,22850,0.9861464761986967,0.8425923818554295,0.2588636847343131,0.07086045651820139,0.10672740202880744
6,Fengler,train_window,in_range_only,21394,1.0,0.4380371661390295,0.15931316615871918,0.06479865811821611,0.08917239779707607
6,Fengler,test_window,all_heldout,2180,0.9886621315192744,0.5899181683092212,0.1698745551562166,0.05241215708006522,0.0709831666127683
6,Fengler,test_window,in_range_only,2065,1.0,0.30557929295514924,0.11619505201877234,0.04929814811228117,0.0624653403531785
7,Fengler,train_window,all_heldout,25282,0.9859989859989859,0.8300257680065086,0.2546930323830601,0.06847388035730456,0.10362547784744612
7,Fengler,train_window,in_range_only,23686,1.0,0.43927337876152117,0.15785388640301748,0.06265455783686646,0.08672137858697512
7,Fengler,test_window,all_heldout,2478,0.9900119856172593,0.5963738694478918,0.17938749674081245,0.05301613438606981,0.07069413460451988
7,Fengler,test_window,in_range_only,2333,1.0,0.41522235411295727,0.12466511463932414,0.04825647141314948,0.061860134237246046
8,Fengler,train_window,all_heldout,27462,0.9862098685628098,0.8135589632411773,0.24795993645579636,0.06677717305110104,0.1007335308750384
8,Fengler,train_window,in_range_only,25751,1.0,0.43008776227816076,0.15451322029282885,0.06136967530022963,0.08457310708040527
8,Fengler,test_window,all_heldout,2624,0.990562476406191,0.6738024464980457,0.21271850222284397,0.04970845102226437,0.07467984792189371
8,Fengler,test_window,in_range_only,2485,0.999597747385358,0.545083712136532,0.16192513235492528,0.046697542357289346,0.06365851548393385
9,Fengler,train_window,all_heldout,29940,0.9865234439355498,0.7978308242719919,0.2422845020665602,0.06554321387903517,0.09793437952091615
9,Fengler,train_window,in_range_only,28084,1.0,0.4288724843385263,0.1520336721341041,0.06027581056618908,0.08245265488653675
9,Fengler,test_window,all_heldout,2544,0.9891135303265941,0.6251460555224584,0.22309422002753299,0.05697981505977459,0.08485045781674785
9,Fengler,test_window,in_range_only,2412,1.0,0.45631249267481305,0.16821957124430412,0.053176363722835795,0.07263805107593974
10,Fengler,train_window,all_heldout,32564,0.9868476877386508,0.7885596090341227,0.2399020802636517,0.06399032274997524,0.09602900367022155
10,Fengler,train_window,in_range_only,30569,0.999967288191037,0.43946849481022315,0.1528377638168134,0.05889911664893055,0.08090288031202739
10,Fengler,test_window,all_heldout,2411,0.9852881078872088,0.7844741562581066,0.2504501226961844,0.057670296503599394,0.08908923952379502
10,Fengler,test_window,in_range_only,2260,1.0,0.6447048152672338,0.18782286124528955,0.05406259899372462,0.07497654446631007
11,Fengler,train_window,all_heldout,35108,0.987011526567332,0.7778728401222871,0.2386841471304432,0.0634318812937136,0.09523199178295076
11,Fengler,train_window,in_range_only,32981,0.9999696804317506,0.4407221662892625,0.1539626817851924,0.05850904695056114,0.08030181637254284
11,Fengler,test_window,all_heldout,2743,0.98918139199423,0.5573084171413922,0.17455155746897147,0.053457948072280215,0.07447403751807807
11,Fengler,test_window,in_range_only,2579,0.9996124031007751,0.42015809632243867,0.12032963973866,0.04983007484128943,0.06388899330982428
12,Fengler,train_window,all_heldout,37519,0.9869005971012967,0.7782987292050628,0.23944023783352697,0.06307075298381815,0.09484999077744106
12,Fengler,train_window,in_range_only,35241,0.9999716247659043,0.4565467191747999,0.15613412997280968,0.05815898939290909,0.07996136369120128
12,Fengler,test_window,all_heldout,3070,0.9932060821740537,0.5679436832576084,0.18092081631009185,0.051179477936375006,0.07442011055596455
12,Fengler,test_window,in_range_only,2901,1.0,0.42022849607584334,0.1386827927320191,0.04742850571858026,0.06430207062315572
13,Fengler,train_window,all_heldout,40262,0.9870556508948272,0.76527137946668,0.2350194527200211,0.06233934457626211,0.09334858906464341
13,Fengler,train_window,in_range_only,37820,0.9999471207233885,0.4541579661029736,0.15369257047217846,0.05745133974222466,0.07875697135307229
13,Fengler,test_window,all_heldout,3203,0.9941030415890751,0.7528118673494849,0.22554182922245045,0.047491102368260596,0.0783518350369562
13,Fengler,test_window,in_range_only,3010,1.0,0.5792696806683606,0.17015027185678802,0.04339216537456447,0.06377246806446114
14,Fengler,train_window,all_heldout,43332,0.9874888904081494,0.7529950108577446,0.23118665446980224,0.061548103722709746,0.09195405444988923
14,Fengler,train_window,in_range_only,40721,0.9999508877047368,0.4518251005265662,0.15262326065109838,0.05664927229558081,0.07769962602306965
14,Fengler,test_window,all_heldout,3188,0.9922191098661687,0.6293922731904744,0.16324697624780757,0.042259733035285296,0.05940282597027122
14,Fengler,test_window,in_range_only,3010,0.9996678844237795,0.5369372151909316,0.12310332889451697,0.0391510130660605,0.05203142072270402
15,Fengler,train_window,all_heldout,46535,0.9879413200857695,0.7529824065335049,0.2307981216393033,0.060287466238859166,0.09102102516794404
15,Fengler,train_window,in_range_only,43731,0.9999542679441155,0.4617257643335766,0.15382964293664236,0.05550995450745999,0.07674284196059228
15,Fengler,test_window,all_heldout,3284,0.9924448473859172,0.3615852916478312,0.11429828663597379,0.038066252072585516,0.0511751119133742
15,Fengler,test_window,in_range_only,3098,1.0,0.22590687865205783,0.07733661588794653,0.03565270553421013,0.04471590141472465
16,Fengler,train_window,all_heldout,49723,0.988214484458224,0.7456732256412987,0.22646706656402446,0.05881209855130992,0.08869411321553596
16,Fengler,train_window,in_range_only,46741,0.9999358206400821,0.466934288086702,0.15185094746014857,0.054300331475520824,0.07493283613902404
16,Fengler,test_window,all_heldout,2968,0.9880159786950732,0.3999648659706932,0.1240450162206772,0.037803441750757644,0.05114620846834953
16,Fengler,test_window,in_range_only,2806,1.0,0.22355865563742075,0.08148734927457435,0.035921836416265285,0.045322625677797476
17,Fengler,train_window,all_heldout,53007,0.9884755244755244,0.7277914814042898,0.21951775282652342,0.05704981902587003,0.08591159126945572
17,Fengler,train_window,in_range_only,49839,0.9999398097989647,0.4556833048058441,0.14721912500763784,0.05272276085135086,0.07267308599596728
17,Fengler,test_window,all_heldout,1089,0.9918032786885246,0.45854274089459746,0.17515543524714158,0.04881784548294993,0.0746716988724706
17,Fengler,test_window,in_range_only,1028,1.0,0.3897362852225274,0.14407633726993382,0.045486140117740465,0.0641487654357626
