date,method,expiry_earlier,expiry_later,n_grid,n_grid_common,n_price_viol,n_price_viol_common,n_scored,n_viol,n_viol_common
2020-01-09,Fengler,2020-01-16,2020-01-23,61,12,11,0,35,1,0
2020-01-09,Fengler,2020-01-23,2020-01-30,61,12,18,0,23,6,0
2020-01-09,Fengler,2020-01-30,2020-02-27,61,27,0,0,36,0,0
2020-01-09,Fengler,2020-02-27,2020-03-26,61,27,19,0,52,19,0
2020-01-09,Fengler,2020-03-26,2020-12-31,61,35,12,0,49,0,0
2020-01-27,Fengler,2020-02-06,2020-02-27,61,14,0,0,19,0,0
2020-01-27,Fengler,2020-02-27,2020-03-26,61,29,0,0,39,0,0
2020-02-12,Fengler,2020-02-20,2020-02-27,61,18,19,0,51,15,0
2020-02-12,Fengler,2020-02-27,2020-03-26,61,37,8,0,44,1,0
2020-02-12,Fengler,2020-03-26,2020-04-30,61,26,26,0,30,2,0
2020-03-02,Fengler,2020-03-12,2020-03-26,61,16,0,0,24,0,0
2020-03-02,Fengler,2020-03-26,2020-04-30,61,26,23,0,41,3,0
2020-03-02,Fengler,2020-04-30,2020-12-31,61,26,0,0,41,0,0
2020-03-19,Fengler,2020-03-26,2020-04-30,61,43,0,0,61,0,0
2020-04-09,Fengler,2020-04-16,2020-04-30,61,43,0,0,58,0,0
2020-04-09,Fengler,2020-04-30,2020-05-28,61,37,5,0,60,4,0
2020-04-09,Fengler,2020-05-28,2020-06-25,61,34,10,0,52,2,0
2020-04-29,Fengler,2020-05-07,2020-05-14,61,21,28,0,32,2,0
2020-04-29,Fengler,2020-05-14,2020-05-28,61,21,0,0,32,0,0
2020-04-29,Fengler,2020-05-28,2020-06-25,61,39,0,0,54,0,0
2020-05-18,Fengler,2020-05-28,2020-06-25,61,36,11,0,50,0,0
2020-05-18,Fengler,2020-06-25,2020-12-31,61,36,0,0,50,0,0
2020-06-04,Fengler,2020-06-11,2020-06-18,61,21,24,0,29,2,0
2020-06-04,Fengler,2020-06-18,2020-06-25,61,21,0,0,29,0,0
2020-06-04,Fengler,2020-06-25,2020-07-30,61,29,14,0,47,0,0
2020-06-04,Fengler,2020-07-30,2020-12-31,61,29,0,0,47,0,0
2020-06-22,Fengler,2020-07-02,2020-07-09,61,20,25,0,40,4,0
2020-06-22,Fengler,2020-07-09,2020-07-30,61,20,12,0,30,2,0
2020-06-22,Fengler,2020-07-30,2020-08-27,61,23,17,0,34,3,0
2020-06-22,Fengler,2020-08-27,2020-12-31,61,23,0,0,34,0,0
2020-07-08,Fengler,2020-07-16,2020-07-23,61,20,21,0,27,3,0
2020-07-08,Fengler,2020-07-23,2020-07-30,61,20,0,0,27,0,0
2020-07-08,Fengler,2020-07-30,2020-08-27,61,32,5,0,45,2,0
2020-07-08,Fengler,2020-08-27,2020-09-24,61,32,0,0,45,0,0
2020-07-08,Fengler,2020-09-24,2020-12-31,61,33,6,0,53,3,0
2020-07-24,Fengler,2020-08-06,2020-08-13,61,11,27,0,15,2,0
2020-07-24,Fengler,2020-08-13,2020-08-27,61,11,0,0,15,0,0
2020-07-24,Fengler,2020-08-27,2020-09-24,61,35,0,0,47,0,0
2020-07-24,Fengler,2020-09-24,2020-12-31,61,39,8,0,56,3,0
2020-08-13,Fengler,2020-08-20,2020-08-27,61,24,15,0,49,3,0
2020-08-13,Fengler,2020-08-27,2020-09-03,61,13,27,0,25,3,0
2020-08-13,Fengler,2020-09-03,2020-09-24,61,13,0,0,25,0,0
2020-08-13,Fengler,2020-09-24,2020-10-29,61,20,35,0,27,1,0
2020-08-13,Fengler,2020-10-29,2020-12-31,61,20,0,0,27,0,0
2020-08-31,Fengler,2020-09-10,2020-09-17,61,9,5,0,17,1,0
2020-08-31,Fengler,2020-09-17,2020-09-24,61,11,0,0,19,0,0
2020-08-31,Fengler,2020-09-24,2020-10-29,61,26,26,0,36,1,0
2020-08-31,Fengler,2020-10-29,2020-12-31,61,26,0,0,36,0,0
2020-09-16,Fengler,2020-09-24,2020-10-01,61,21,34,0,30,3,0
2020-09-16,Fengler,2020-10-01,2020-10-29,61,21,5,0,26,1,0
2020-09-16,Fengler,2020-10-29,2020-11-26,61,10,10,0,22,2,0
2020-09-16,Fengler,2020-11-26,2020-12-31,61,10,0,0,27,0,0
2020-10-05,Fengler,2020-10-15,2020-10-22,61,18,7,0,45,5,0
2020-10-05,Fengler,2020-10-22,2020-10-29,61,21,16,0,51,8,0
2020-10-05,Fengler,2020-10-29,2020-11-26,61,24,16,0,37,2,0
2020-10-05,Fengler,2020-11-26,2020-12-31,61,27,0,0,38,0,0
2020-10-21,Fengler,2020-10-29,2020-11-05,61,21,16,0,45,0,0
2020-10-21,Fengler,2020-11-05,2020-11-26,61,21,20,0,29,4,0
2020-10-21,Fengler,2020-11-26,2020-12-31,61,30,0,0,34,0,0
2020-11-06,Fengler,2020-11-19,2020-11-26,61,27,16,0,48,3,0
2020-11-06,Fengler,2020-11-26,2020-12-31,61,27,3,0,48,3,0
2020-11-06,Fengler,2020-12-31,2021-03-25,61,30,9,0,52,0,0
2020-11-25,Fengler,2020-12-03,2020-12-10,61,18,24,0,38,1,0
2020-11-25,Fengler,2020-12-10,2020-12-31,61,18,12,0,35,9,0
2020-11-25,Fengler,2020-12-31,2021-01-28,61,33,7,0,52,1,0
2020-11-25,Fengler,2021-01-28,2021-03-25,61,33,0,0,52,0,0
2020-12-14,Fengler,2020-12-24,2020-12-31,61,28,13,0,38,5,0
2020-12-14,Fengler,2020-12-31,2021-01-28,61,34,3,0,50,0,0
2020-12-14,Fengler,2021-01-28,2021-03-25,61,31,0,0,50,0,0
2020-12-31,Fengler,2021-01-07,2021-01-14,61,16,23,0,19,0,0
2020-12-31,Fengler,2021-01-14,2021-01-21,61,14,2,0,17,0,0
2020-12-31,Fengler,2021-01-21,2021-01-28,61,19,0,0,23,0,0
2020-12-31,Fengler,2021-01-28,2021-02-25,61,22,21,0,28,0,0
2020-12-31,Fengler,2021-02-25,2021-03-25,61,22,0,0,28,0,0
2021-01-18,Fengler,2021-01-28,2021-02-04,61,23,20,0,36,5,0
2021-01-18,Fengler,2021-02-04,2021-02-25,61,23,0,0,36,0,0
2021-01-18,Fengler,2021-02-25,2021-03-25,61,32,17,0,56,12,0
2021-02-04,Fengler,2021-02-11,2021-02-18,61,23,29,0,31,3,0
2021-02-04,Fengler,2021-02-18,2021-02-25,61,23,0,0,31,0,0
2021-02-04,Fengler,2021-02-25,2021-03-25,61,36,0,0,56,0,0
2021-02-22,Fengler,2021-03-04,2021-03-10,61,21,34,0,30,3,0
2021-02-22,Fengler,2021-03-10,2021-03-25,61,21,0,0,30,0,0
2021-02-22,Fengler,2021-03-25,2021-04-29,61,22,28,0,30,3,0
